id,host_location,host_neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,availability_365
13221.0,"Vancouver, Canada",Riley Park,Riley Park,49.25489,-123.09708,Private House,Entire home/apt,4,1,2,$120.00,363
13490.0,"Vancouver, Canada",Kensington-Cedar Cottage,Kensington-Cedar Cottage,49.25622,-123.06607,Private House,Entire home/apt,2,1,1,$150.00,92
14267.0,"Vancouver, Canada",Kensington-Cedar Cottage,Kensington-Cedar Cottage,49.24922,-123.08139,Private House,Entire home/apt,4,1,2,$150.00,17
16611.0,,Commercial Drive,Grandview-Woodland,49.26339,-123.07145,Private House,Entire home/apt,6,1,4,$100.00,89
18270.0,"Vancouver, Canada",Mount Pleasant,Mount Pleasant,49.26557,-123.096,Private Room,Private room,2,1 shared,1,$51.00,234
18795.0,"Vancouver, Canada",West End,West End,49.28299,-123.13008,Private Room,Private room,2,1,1,$75.00,339
19621.0,"Vancouver, Canada",Yaletown,Downtown,49.27323,-123.12032,Private House,Entire home/apt,3,2,2,$250.00,130
20085.0,"Vancouver, Canada",Mount Pleasant,Kensington-Cedar Cottage,49.25636,-123.08636,Private Guest Suite,Entire home/apt,3,1,2,$99.00,357
21912.0,"Vancouver, Canada",Renfrew-Collingwood,Renfrew-Collingwood,49.23361,-123.05283,Private Room,Private room,1,1,1,$70.00,137
21913.0,"Vancouver, Canada",Renfrew-Collingwood,Renfrew-Collingwood,49.23442,-123.05307,Private House,Entire home/apt,2,1,1,$72.00,135
24273.0,"Vancouver, Canada",Kitsilano,Kitsilano,49.26216,-123.1715,Private House,Entire home/apt,6,1,3,$150.00,242
26047.0,"Vancouver, Canada",Downtown Vancouver,Downtown,49.28086,-123.12375,Private Apartment,Entire home/apt,2,1,2,$169.00,97
33150.0,"Vancouver, Canada",Riley Park,Riley Park,49.24677,-123.1048,Private House,Entire home/apt,3,1,2,$125.00,299
35304.0,"Vancouver, Canada",Commercial Drive,Grandview-Woodland,49.2729,-123.06973,Private House,Entire home/apt,2,1,1,$99.00,279
42645.0,"Vancouver, Canada",Downtown Vancouver,Downtown,49.28036,-123.1234,Private Apartment,Entire home/apt,3,1,2,$169.00,151
73841.0,"Vancouver, Canada",Downtown Vancouver,Downtown,49.27591,-123.12359,Private House,Entire home/apt,3,1,1,$139.00,85
77157.0,"Vancouver, Canada",Arbutus Ridge,Arbutus Ridge,49.2452,-123.16544,Private Guest Suite,Entire home/apt,3,1,3,$125.00,290
134688.0,"Vancouver, Canada",Renfrew-Collingwood,Renfrew-Collingwood,49.24356,-123.04757,Private Room,Private room,1,1 shared,1,$90.00,269
182451.0,"Vancouver, Canada",Kitsilano,Kitsilano,49.25808,-123.16824,Private Guest Suite,Entire home/apt,4,1,1,$131.00,129
219261.0,"Vancouver, Canada",Kitsilano,Kitsilano,49.2719,-123.15043,Private House,Entire home/apt,4,1,2,$123.00,314
248014.0,"Vancouver, Canada",Grandview-Woodland,Grandview-Woodland,49.29103,-123.05782,Private House,Entire home/apt,3,1,2,$100.00,218
254657.0,"Vancouver, Canada",Gastown,Downtown Eastside,49.28375,-123.10383,Private Apartment,Entire home/apt,2,1,1,$298.00,34
257163.0,"Vancouver, Canada",Kensington-Cedar Cottage,Kensington-Cedar Cottage,49.23841,-123.0651,Private Room,Private room,4,1.5,2,$65.00,72
311354.0,,Commercial Drive,Grandview-Woodland,49.26328,-123.07086,Private House,Entire home/apt,7,2,3,$100.00,89
