CURRENT_LAND_VALUE_2024,CURRENT_LAND_VALUE_2023,CURRENT_LAND_VALUE_2022,CURRENT_LAND_VALUE_2021,CURRENT_LAND_VALUE_2020,CURRENT_IMPROVEMENT_VALUE_2024,CURRENT_IMPROVEMENT_VALUE_2023,CURRENT_IMPROVEMENT_VALUE_2022,CURRENT_IMPROVEMENT_VALUE_2021,CURRENT_IMPROVEMENT_VALUE_2020,LATITUDE,LONGITUDE,Count_Per_Year_2020,Count_Per_Year_2021,Count_Per_Year_2022,Count_Per_Year_2023,Count_Per_Year_2024,MIN_DISTANCE_LIBRARY_METERS,CLOSEST_HOMELESS_SHELTER,CLOSEST_SCHOOL_METERS,COMMUNITY_CENTRE_DISTANCE_METERS,CLOSEST_DOG_PARK_METERS,YEAR_BUILT,BIG_IMPROVEMENT_YEAR
123200400,114986700,82217500,56128600,47509100.0,50982400.0,42971700.0,18938500,7933600,11248100,49.0947783,-122.6676699,3600,3600,3600,3600,3600,1248.127294701569,1086.2424255521241,"{1086.2424255521241, Public School}",1384.5897657298217,1384.5897657298217,1700.0,1700.0
157998205,155133155,123537580,109229680,110906505.0,31337000.0,28877800.0,29110700,26530800,34654900,49.167457,-122.580444,25281,25281,25281,25281,25281,395.48400645328,7847.724140165881,"{7847.724140165881, Public School}",4384.772089827084,4384.772089827084,1700.0,1700.0
10509000,10717000,9169200,6773300,6310800.0,1755000.0,1727000.0,1142200,706300,970800,49.174953,-122.650756,64,64,64,64,64,1456.6402579708274,6377.677607170417,"{6377.677607170417, Public School}",1218.2217866006752,1218.2217866006752,1700.0,1700.0
10891000,11143000,9495000,6765600,6505000.0,2386000.0,2407000.0,1693000,868600,1315000,49.176376,-122.644037,64,64,64,64,64,1450.6955724282461,6609.844892351124,"{6609.844892351124, Public School}",1159.1805507800796,1159.1805507800796,1700.0,1700.0
75463800,74429500,61451100,40525000,39485600.0,18269800.0,15362500.0,11955100,9553000,11693600,49.169132,-122.678051,1444,1444,1444,1444,1444,2758.49928216392,5813.89084489372,"{5813.89084489372, Public School}",2679.0827448439204,2679.0827448439204,1700.0,1700.0
368490200,346784300,282826900,226204300,217873900.0,178560000.0,174837600.0,153323700,135724200,137854100,49.17103,-122.673888,180625,180625,180625,180625,180625,2526.890000440191,5966.38727923417,"{5966.38727923417, Public School}",2470.953104977489,2470.953104977489,1700.0,1700.0
122923000,125555000,110407500,81619000,80171100.0,26144000.0,26397000.0,20701500,12374000,18950100,49.1588515,-122.6425906,6889,6889,6889,6889,6889,524.7420620309275,4740.252628400567,"{4740.252628400567, Public School}",826.0684730541412,826.0684730541412,1700.0,1700.0
82725200,81543100,68005500,52001100,51369000.0,13725200.0,16271100.0,12108500,9791100,10040000,49.127936,-122.613496,3844,3844,3844,3844,3844,3421.115503073396,2932.518201961056,"{2932.518201961056, Public School}",3740.5063300150377,3740.5063300150377,1700.0,1700.0
68481000,70147000,61261000,44362300,43165000.0,13542000.0,13722000.0,10860000,6282300,9647000,49.1285614,-122.6454063,2809,2809,2809,2809,2809,1334.911175946208,1646.041999948314,"{1646.041999948314, Public School}",1508.423533845786,1508.423533845786,1700.0,1700.0
166528100,170726800,149343000,109202200,105662900.0,30022100.0,30327800.0,24514000,14069200,20225900,49.093112,-122.606857,21025,21025,21025,21025,21025,504.9163297446542,3224.2271005724365,"{3224.2271005724365, Public School}",170.82165929770312,170.82165929770312,1700.0,1700.0
