FOLIO,ADDRESS,2024,2023,2022,2021,2020
072970,4502 196 ST,0,0,0,0,0
073720,4502 196 ST,0,0,0,0,0
072960,4510 196 ST,636000,634000,508000,327000,502000
072950,4518 196 ST,292000,294000,227000,119000,179000
072940,4526 196 ST,161000,167000,130000,70500,105000
072920,4534 196 ST,183000,185000,142000,72900,113000
072930,4542 196 ST,174000,180000,142000,74600,120000
072910,4550 196 ST,222000,224000,175000,92800,138000
072900,4558 196 ST,128000,133000,103000,54900,83800
072890,4566 196 ST,148000,154000,122000,64900,105000
072870,4574 196 ST,249000,251000,195000,97000,169000
072880,4582 196 ST,236000,241000,196000,110000,153000
071342,4586 196 ST,430000,430000,348000,239000,379000
113253,4830 196 ST,441000,441000,354000,239000,381000
113252,4840 196 ST,457000,456000,368000,255000,404000
151412,4850 196 ST,395000,399000,308000,155000,236000
151417,4866 196 ST,480000,484000,394000,278000,446000
151416,4876 196 ST,456000,459000,373000,259000,411000
113890,4920 196 ST,117000,119000,92600,51400,76300
110594,4930 196 ST,712000,695000,588000,421000,592000
110593,4934 196 ST,0,0,0,0,0
151420,4940 196 ST,238000,242000,195000,102000,157000
151430,4950 196 ST,182000,185000,145000,81500,120000
113660,4960 196 ST,227000,232000,181000,100000,150000
151140,5100 196 ST,0,0,0,0,0
123826,5210 196 ST,0,0,0,0,0
130250,6000 196 ST,425000,11800,437000,1016000,1093000
130240,6010 196 ST,193000,11100,258000,869000,847000
130230,6020 196 ST,193000,11700,258000,869000,847000
130220,6030 196 ST,8800,11100,12100,679000,670000
130210,6040 196 ST,737000,214000,622000,1011000,1089000
130200,6050 196 ST,737000,214000,622000,17,6
073450,4547 196A ST,266000,268000,206000,119000,179000
073440,4553 196A ST,377000,210000,177000,97900,136000
073430,4559 196A ST,332000,335000,258000,140000,206000
073660,4560 196A ST,254000,255000,208000,120000,170000
073420,4565 196A ST,316000,318000,245000,135000,203000
073670,4570 196A ST,192000,196000,152000,84600,128000
073410,4571 196A ST,355000,274000,223000,127000,178000
073710,4577 196A ST,279000,282000,217000,117000,173000
071423,4611 196A ST,371000,372000,321000,226000,332000
071740,4620 196A ST,155000,158000,123000,68500,99600
071424,4621 196A ST,796000,794000,620000,424000,667000
071750,4630 196A ST,213000,218000,172000,94700,147000
071720,4631 196A ST,332000,335000,263000,146000,213000
071760,4640 196A ST,196000,199000,157000,82300,133000
071710,4641 196A ST,155000,160000,125000,67900,104000
071770,4650 196A ST,279000,282000,222000,120000,175000
113940,4923 196A ST,224000,229000,179000,100000,153000
113980,4928 196A ST,207000,212000,165000,91700,135000
113950,4933 196A ST,252000,259000,203000,112000,168000
113970,4938 196A ST,189000,193000,151000,83600,125000
110592,4943 196A ST,395000,398000,309000,164000,246000
113960,4948 196A ST,344000,346000,263000,166000,248000
123820,5245 196A ST,286000,289000,198000,117000,160000
123819,5246 196A ST,262000,265000,180000,105000,144000
123821,5255 196A ST,310000,313000,215000,124000,173000
123818,5256 196A ST,457000,460000,308000,139000,194000
123822,5265 196A ST,273000,276000,190000,107000,149000
123817,5266 196A ST,842000,827000,569000,349000,522000
123823,5275 196A ST,363000,364000,247000,110000,151000
123816,5276 196A ST,860000,845000,605000,371000,556000
123824,5285 196A ST,257000,260000,177000,102000,142000
123815,5286 196A ST,269000,271000,185000,105000,147000
123825,5295 196A ST,248000,249000,170000,97300,132000
123814,5296 196A ST,352000,355000,241000,121000,167000
051690,6011 196A ST,3577000,2090000,1138000,1942000,1811000
051680,6021 196A ST,30800,29500,21100,20700,185000
110614,4916 196B ST,357000,360000,295000,200000,319000
110613,4928 196B ST,375000,378000,307000,213000,338000
110612,4938 196B ST,361000,363000,312000,228000,347000
110611,4948 196B ST,294000,297000,230000,124000,188000
151582,4958 196B ST,309000,312000,243000,128000,191000
151570,4968 196B ST,223000,227000,178000,95500,145000
