STREET,CURRENT_LAND_VALUE_2024,CURRENT_LAND_VALUE_2023,CURRENT_LAND_VALUE_2022,CURRENT_LAND_VALUE_2021,CURRENT_LAND_VALUE_2020,CURRENT_IMPROVEMENT_VALUE_2024,CURRENT_IMPROVEMENT_VALUE_2023,CURRENT_IMPROVEMENT_VALUE_2022,CURRENT_IMPROVEMENT_VALUE_2021,CURRENT_IMPROVEMENT_VALUE_2020
196 ST,1899000,1931000,1667000,1202000,1273000.0,636000.0,634000.0,508000,327000,502000
196 ST,1518000,1553000,1353000,970000,928000.0,292000.0,294000.0,227000,119000,179000
196 ST,1208000,1243000,1091000,796500,744000.0,161000.0,167000.0,130000,70500,105000
196 ST,1230000,1261000,1103000,798900,752000.0,183000.0,185000.0,142000,72900,113000
196 ST,1459000,1500000,1321000,965600,904000.0,174000.0,180000.0,142000,74600,120000
196 ST,1422000,1456000,1276000,924800,870000.0,222000.0,224000.0,175000,92800,138000
196 ST,1175000,1209000,1064000,780900,722800.0,128000.0,133000.0,103000,54900,83800
196 ST,1195000,1230000,1083000,790900,744000.0,148000.0,154000.0,122000,64900,105000
196 ST,1296000,1327000,1156000,823000,808000.0,249000.0,251000.0,195000,97000,169000
196 ST,1435000,1473000,1296000,942000,885000.0,236000.0,241000.0,196000,110000,153000
196 ST,1407000,1434000,1243000,916000,974000.0,430000.0,430000.0,348000,239000,379000
196 ST,1418000,1444000,1249000,915000,976000.0,441000.0,441000.0,354000,239000,381000
196 ST,1434000,1459000,1263000,931000,999000.0,457000.0,456000.0,368000,255000,404000
196 ST,1482000,1515000,1304000,908000,898000.0,395000.0,399000.0,308000,155000,236000
196 ST,1569000,1602000,1392000,1032000,1110000.0,480000.0,484000.0,394000,278000,446000
196 ST,1547000,1579000,1372000,1014000,1075000.0,456000.0,459000.0,373000,259000,411000
196 ST,1481000,1520000,1343600,996400,908300.0,117000.0,119000.0,92600,51400,76300
196 ST,2232000,2256000,1982000,1474000,1519000.0,712000.0,695000.0,588000,421000,592000
196 ST,1020000,1047000,936000,707000,622000.0,0.0,0.0,0,0,0
196 ST,1273000,1305000,1143000,818000,788000.0,238000.0,242000.0,195000,102000,157000
196 ST,1260000,1292000,1134000,828500,778000.0,182000.0,185000.0,145000,81500,120000
196 ST,1294000,1328000,1160000,840000,801000.0,227000.0,232000.0,181000,100000,150000
196 ST,164000,164000,164000,115000,115000.0,0.0,0.0,0,0,0
196 ST,4396000,4569000,4158000,3140000,2778000.0,0.0,0.0,0,0,0
196 ST,2542000,2128800,1977000,1545000,1545000.0,425000.0,11800.0,437000,1016000,1093000
196 ST,2328000,2146100,1810000,1402000,1303000.0,193000.0,11100.0,258000,869000,847000
196 ST,2328000,2146700,1810000,1402000,1303000.0,193000.0,11700.0,258000,869000,847000
196 ST,2143800,2146100,1564100,1212000,1126000.0,8800.0,11100.0,12100,679000,670000
196 ST,2872000,2349000,2174000,1544000,1545000.0,737000.0,214000.0,622000,1011000,1089000
196 ST,2872000,2349000,2174000,2021,388000.0,737000.0,214000.0,622000,17,6
196A ST,1261000,1290000,1119000,809000,786000.0,266000.0,268000.0,206000,119000,179000
196A ST,1424000,1285000,1137000,822900,774000.0,377000.0,210000.0,177000,97900,136000
196A ST,1379000,1410000,1218000,865000,844000.0,332000.0,335000.0,258000,140000,206000
196A ST,1301000,1330000,1168000,845000,808000.0,254000.0,255000.0,208000,120000,170000
196A ST,1363000,1393000,1205000,860000,841000.0,316000.0,318000.0,245000,135000,203000
196A ST,1242000,1274000,1115000,812600,769000.0,192000.0,196000.0,152000,84600,128000
196A ST,1402000,1349000,1183000,852000,816000.0,355000.0,274000.0,223000,127000,178000
196A ST,1326000,1357000,1177000,842000,811000.0,279000.0,282000.0,217000,117000,173000
196A ST,1524000,1556000,1378000,1025000,1035000.0,371000.0,372000.0,321000,226000,332000
196A ST,1199000,1230000,1080000,791500,735600.0,155000.0,158000.0,123000,68500,99600
196A ST,1976000,2005000,1701000,1241000,1386000.0,796000.0,794000.0,620000,424000,667000
196A ST,1262000,1295000,1134000,821700,787000.0,213000.0,218000.0,172000,94700,147000
196A ST,1364000,1395000,1209000,861000,842000.0,332000.0,335000.0,263000,146000,213000
196A ST,1241000,1272000,1115000,806300,770000.0,196000.0,199000.0,157000,82300,133000
196A ST,1201000,1235000,1085000,792900,742000.0,155000.0,160000.0,125000,67900,104000
196A ST,1337000,1369000,1193000,854000,821000.0,279000.0,282000.0,222000,120000,175000
196A ST,1313000,1347000,1177000,854000,817000.0,224000.0,229000.0,179000,100000,153000
196A ST,1255000,1289000,1126000,818700,774000.0,207000.0,212000.0,165000,91700,135000
196A ST,1388000,1426000,1244000,899000,860000.0,252000.0,259000.0,203000,112000,168000
196A ST,1261000,1294000,1135000,826600,779000.0,189000.0,193000.0,151000,83600,125000
196A ST,1573000,1608000,1389000,980000,964000.0,395000.0,398000.0,309000,164000,246000
196A ST,1448000,1480000,1276000,931000,922000.0,344000.0,346000.0,263000,166000,248000
196A ST,1576000,1701000,1462000,1021000,1087000.0,286000.0,289000.0,198000,117000,160000
196A ST,1453000,1568000,1346000,939000,999000.0,262000.0,265000.0,180000,105000,144000
196A ST,1526000,1644000,1405000,975000,1046000.0,310000.0,313000.0,215000,124000,173000
196A ST,1847000,1981000,1669000,1112000,1192000.0,457000.0,460000.0,308000,139000,194000
196A ST,1220000,1313000,1116000,769000,828000.0,273000.0,276000.0,190000,107000,149000
196A ST,1886000,1969000,1591000,1080000,1271000.0,842000.0,827000.0,569000,349000,522000
196A ST,1310000,1400000,1173000,772000,830000.0,363000.0,364000.0,247000,110000,151000
196A ST,1829000,1905000,1555000,1050000,1252000.0,860000.0,845000.0,605000,371000,556000
196A ST,1204000,1296000,1103000,764000,821000.0,257000.0,260000.0,177000,102000,142000
196A ST,1234000,1327000,1131000,781000,840000.0,269000.0,271000.0,185000,105000,147000
196A ST,1195000,1285000,1096000,759300,811000.0,248000.0,249000.0,170000,97300,132000
196A ST,1328000,1423000,1198000,805000,869000.0,352000.0,355000.0,241000,121000,167000
196A ST,10004000,8517000,5812000,3548000,3184000.0,3577000.0,2090000.0,1138000,1942000,1811000
196A ST,7218800,7217500,5249100,1817700,1720000.0,30800.0,29500.0,21100,20700,185000
196B ST,1440000,1472000,1288000,950000,979000.0,357000.0,360000.0,295000,200000,319000
196B ST,1454000,1486000,1297000,961000,996000.0,375000.0,378000.0,307000,213000,338000
196B ST,1416000,1447000,1280000,960000,991000.0,361000.0,363000.0,312000,228000,347000
196B ST,1344000,1376000,1193000,852000,829000.0,294000.0,297000.0,230000,124000,188000
196B ST,1368000,1399000,1214000,862000,837000.0,309000.0,312000.0,243000,128000,191000
196B ST,1271000,1303000,1139000,821500,784000.0,223000.0,227000.0,178000,95500,145000
196B ST,1304000,1335000,1161000,829000,792000.0,256000.0,259000.0,200000,103000,153000
196B ST,1316000,1347000,1172000,843000,815000.0,268000.0,271000.0,211000,117000,176000
197 ST,1256000,1288000,1125000,821400,781000.0,208000.0,212000.0,164000,95400,142000
197 ST,1249000,1282000,1120000,814600,772000.0,202000.0,206000.0,160000,88600,133000
197 ST,1291000,1320000,1159000,838000,794000.0,245000.0,246000.0,200000,113000,156000
197 ST,1249000,1279000,1128000,825000,775000.0,202000.0,204000.0,168000,100000,137000
197 ST,1346000,1377000,1202000,864000,836000.0,299000.0,301000.0,242000,138000,197000
197 ST,1235000,1266000,1110000,811000,768000.0,188000.0,191000.0,150000,86000,130000
197 ST,1253000,1284000,1124000,816100,775000.0,206000.0,209000.0,164000,90100,136000
197 ST,1239000,1271000,1112000,808900,764000.0,192000.0,196000.0,152000,83900,126000
197 ST,1329000,1359000,1179000,841000,812000.0,282000.0,284000.0,219000,116000,174000
197 ST,1240000,1272000,1113000,810200,767000.0,193000.0,197000.0,153000,85200,129000
197 ST,1310000,1342000,1166000,843000,814000.0,263000.0,266000.0,206000,117000,175000
197 ST,1237000,1268000,1110000,809500,764000.0,190000.0,193000.0,150000,84500,126000
197 ST,1332000,1362000,1181000,849000,807000.0,285000.0,287000.0,221000,124000,169000
197 ST,1329000,1361000,1185000,852000,817000.0,247000.0,250000.0,193000,102000,157000
197 ST,1206000,1239000,1092000,800900,747000.0,148000.0,152000.0,121000,66900,101000
197 ST,1237000,1270000,1116000,810200,761000.0,179000.0,183000.0,145000,76200,115000
197 ST,1377000,1412000,1230000,882000,863000.0,272000.0,278000.0,217000,117000,189000
197 ST,1351000,1382000,1198000,857000,830000.0,293000.0,295000.0,227000,123000,184000
197 ST,1180000,1211000,1066000,779000,733000.0,145000.0,148000.0,118000,63000,102000
197 ST,1300000,1327000,1154000,822000,798000.0,265000.0,264000.0,206000,106000,167000
197 ST,1335000,1366000,1187000,848000,822000.0,277000.0,279000.0,216000,114000,176000
197 ST,1377000,1412000,1236000,901500,851000.0,209000.0,212000.0,165000,91500,139000
197 ST,1297000,1326000,1149000,819000,788000.0,273000.0,275000.0,210000,109000,163000
197 ST,1317000,1349000,1176000,850000,811000.0,235000.0,238000.0,184000,100000,151000
197 ST,1329000,1364000,1192000,866400,823000.0,214000.0,218000.0,169000,93400,142000
197 ST,1365000,1395000,1224000,871000,788000.0,322000.0,324000.0,268000,149000,152000
197 ST,1291000,1321000,1145000,816000,795000.0,294000.0,297000.0,229000,124000,186000
197 ST,1292000,1323000,1151000,805300,775000.0,267000.0,270000.0,211000,95300,150000
197 ST,1227000,1259000,1102000,798500,760000.0,201000.0,205000.0,161000,87500,134000
197 ST,1290000,1322000,1151000,827000,798000.0,249000.0,253000.0,197000,106000,163000
197 ST,1277000,1307000,1141000,814500,771000.0,229000.0,231000.0,180000,88500,132000
197 ST,1535000,1647000,1393000,958000,1013000.0,382000.0,385000.0,263000,150000,185000
197 ST,1689000,1821000,1559000,1083000,1160000.0,328000.0,331000.0,226000,130000,182000
197 ST,1442000,1555000,1334000,928000,992000.0,275000.0,278000.0,190000,110000,153000
197 ST,1318000,1417000,1204000,831000,893000.0,293000.0,295000.0,199000,113000,156000
197 ST,1203000,1296000,1108000,771300,818000.0,242000.0,244000.0,167000,98300,128000
197 ST,1220000,1312000,1117000,775000,828000.0,263000.0,265000.0,180000,105000,141000
197 ST,1225000,1318000,1117000,774000,834000.0,278000.0,281000.0,191000,112000,155000
197 ST,1212000,1306000,1117000,775000,831000.0,252000.0,255000.0,176000,102000,141000
197 ST,1201000,1293000,1101000,762500,816000.0,252000.0,255000.0,173000,98500,135000
197 ST,1352000,1443000,1211000,826000,893000.0,381000.0,380000.0,259000,146000,195000
197 ST,1240000,1333000,1130000,779000,840000.0,287000.0,290000.0,197000,112000,156000
197A ST,1663000,1686000,1493000,1030000,972000.0,382000.0,370000.0,319000,142000,191000
197A ST,1539000,1575000,1375000,1039000,992000.0,258000.0,259000.0,201000,151000,211000
197A ST,1454000,1484000,1273100,959600,870600.0,156000.0,151000.0,82100,59600,78600
197A ST,1762000,1796000,1557000,1148000,1184000.0,481000.0,480000.0,383000,260000,403000
197A ST,1503000,1526000,1290000,972600,886000.0,222000.0,210000.0,116000,84600,105000
197A ST,1545000,1591000,1375000,935000,855600.0,273000.0,285000.0,210000,54000,80600
197A ST,1504000,1538000,1357000,944400,862500.0,232000.0,232000.0,192000,63400,87500
197A ST,1390000,1421000,1237100,929400,834800.0,118000.0,115000.0,72100,48400,59800
197A ST,1388000,1425000,1258900,929900,854800.0,116000.0,119000.0,93900,48900,79800
197A ST,2287000,2316000,1981000,1430000,1613000.0,1015000.0,1010000.0,816000,549000,838000
197A ST,1549000,1585000,1380000,993000,947000.0,277000.0,279000.0,215000,112000,172000
197A ST,1756000,1791000,1582000,1137000,1161000.0,484000.0,485000.0,417000,256000,386000
197A ST,1568000,1603000,1396000,982000,936000.0,296000.0,297000.0,231000,101000,161000
197A ST,1439000,1476000,1300000,913800,831500.0,182000.0,185000.0,146000,41800,64500
197A ST,1253000,1286000,1130000,824500,778000.0,170000.0,174000.0,137000,74500,118000
197A ST,1216000,1249000,1111000,819100,754100.0,136000.0,140000.0,121000,71100,95100
197A ST,1213000,1246000,1097000,805600,751000.0,139000.0,143000.0,112000,61600,96000
197A ST,1291000,1322000,1165000,851000,807000.0,243000.0,246000.0,204000,125000,168000
197A ST,1347000,1380000,1198000,852000,825000.0,281000.0,285000.0,220000,113000,175000
197A ST,1200000,1233000,1087000,797500,746000.0,142000.0,146000.0,116000,63500,100000
197A ST,1283000,1315000,1151000,827800,798000.0,225000.0,228000.0,180000,93800,152000
197A ST,1387000,1419000,1234000,887000,842000.0,260000.0,262000.0,201000,106000,155000
197A ST,1389000,1421000,1230000,871000,856000.0,331000.0,334000.0,259000,137000,210000
197A ST,1249000,1281000,1122000,815200,769000.0,191000.0,194000.0,151000,81200,123000
197A ST,1278000,1311000,1147000,820600,782000.0,220000.0,224000.0,176000,86600,136000
197A ST,1376000,1381000,1168000,857100,769400.0,277000.0,253000.0,161000,96100,99400
197A ST,1266000,1298000,1140000,833700,781000.0,166000.0,169000.0,132000,71700,110000
197A ST,1274000,1307000,1146000,845900,799000.0,175000.0,179000.0,139000,84900,129000
197A ST,1362000,1393000,1212000,872000,837000.0,262000.0,264000.0,204000,110000,166000
197A ST,1404000,1437000,1253000,897000,868000.0,305000.0,309000.0,246000,136000,198000
197A ST,1230000,1263000,1109000,808600,761000.0,170000.0,174000.0,136000,73600,114000
197A ST,1225000,1257000,1104000,805500,756000.0,165000.0,168000.0,131000,70500,109000
197A ST,1480000,1509000,1300000,904000,894000.0,420000.0,420000.0,327000,169000,247000
197A ST,1226000,1259000,1106000,807200,758000.0,166000.0,170000.0,133000,72200,111000
197A ST,1294000,1328000,1162000,842500,798000.0,207000.0,212000.0,166000,89500,136000
197A ST,1266000,1298000,1146000,854000,814000.0,195000.0,199000.0,164000,112000,161000
197A ST,1270000,1304000,1143000,828200,786000.0,195000.0,200000.0,157000,83200,130000
197A ST,1386000,1418000,1228000,875000,853000.0,311000.0,314000.0,242000,130000,197000
197A ST,1288000,1322000,1157000,829700,787000.0,213000.0,218000.0,171000,84700,131000
197A ST,1290000,1324000,1162000,844400,800000.0,215000.0,220000.0,176000,99400,144000
197A ST,1281000,1315000,1151000,834800,794000.0,206000.0,211000.0,165000,89800,138000
197A ST,1283000,1317000,1152000,839400,795000.0,208000.0,213000.0,166000,94400,139000
197A ST,1282000,1316000,1152000,839900,797000.0,207000.0,212000.0,166000,94900,141000
197A ST,1370000,1402000,1216000,865000,840000.0,295000.0,298000.0,230000,120000,184000
197A ST,1274000,1308000,1146000,831400,789000.0,199000.0,204000.0,160000,86400,133000
197A ST,1325000,1356000,1182000,848000,815000.0,250000.0,252000.0,196000,103000,159000
197A ST,1271000,1305000,1143000,830000,787000.0,196000.0,201000.0,157000,85000,131000
197A ST,1345000,1377000,1196000,858000,824000.0,270000.0,273000.0,210000,113000,168000
197A ST,1330000,1366000,1199000,871500,823000.0,182000.0,187000.0,147000,76500,123000
197A ST,1387000,1418000,1227000,867000,835000.0,309000.0,311000.0,238000,120000,178000
197A ST,1261000,1291000,1122000,806000,777000.0,261000.0,264000.0,204000,112000,166000
197A ST,1212000,1245000,1088000,786700,754000.0,216000.0,222000.0,174000,95700,146000
197A ST,1220000,1252000,1095000,796000,752000.0,188000.0,192000.0,149000,81000,123000
197A ST,1453000,1482000,1289000,871000,846000.0,402000.0,403000.0,325000,143000,205000
197A ST,1480000,1513000,1312000,887000,857000.0,363000.0,366000.0,287000,113000,175000
197A ST,1314000,1346000,1170000,813700,771000.0,267000.0,270000.0,209000,87700,132000
197A ST,1333000,1368000,1194000,864000,826000.0,233000.0,238000.0,185000,102000,155000
197A ST,1308000,1339000,1163000,836000,804000.0,265000.0,268000.0,207000,113000,168000
197A ST,1258000,1282000,1136000,828000,783000.0,254000.0,250000.0,214000,131000,170000
197A ST,1231000,1263000,1105000,795800,754000.0,213000.0,217000.0,170000,89800,132000
197A ST,1260000,1290000,1121000,799000,771000.0,262000.0,265000.0,205000,107000,162000
197A ST,1212000,1308000,1124000,785800,836000.0,223000.0,226000.0,155000,92800,126000
197A ST,1179000,1272000,1093000,762200,809000.0,217000.0,219000.0,150000,88200,118000
197A ST,1741000,1875000,1600000,1105000,1180000.0,356000.0,359000.0,244000,135000,186000
197A ST,1210000,1304000,1114000,773000,829000.0,250000.0,253000.0,173000,100000,139000
197A ST,1595000,1720000,1481000,1027000,1094000.0,296000.0,298000.0,209000,117000,161000
197A ST,1174000,1266000,1083000,753100,805000.0,225000.0,228000.0,155000,89100,124000
197A ST,1541000,1664000,1434000,1000000,1059000.0,259000.0,261000.0,179000,103000,139000
197A ST,1293000,1385000,1170000,802000,871000.0,338000.0,340000.0,235000,133000,185000
197A ST,2032000,2148000,1769000,1136000,1259000.0,774000.0,771000.0,537000,255000,356000
