Year,Total_migration_into_BC,Total_migration_out_of_BC,N.L.,P.E.I.,N.S.,N.B.,Que.,Ont.,Man.,Sask.,Alta.,Y.T.,N.W.T.,Nvt.
1971,48452,28159,295,103,1702,787,3196,12195,5008,6217,17717,481,751,0
1972,72338,47411,505,133,1890,1192,5146,17281,7901,9076,26944,885,1385,0
1973,87092,56555,785,217,2120,1453,4989,23499,8643,9883,32979,985,1539,0
1974,84173,61518,847,230,2882,1460,5484,24169,8650,8486,29382,1007,1576,0
1975,61136,64000,617,177,1926,976,4077,18201,6287,4982,22027,727,1139,0
1976,58348,58812,682,190,2035,1078,5009,18250,5072,4197,19646,1198,991,0
1977,61278,48826,770,206,2361,1175,6026,19396,4917,4141,20171,1265,850,0
1978,65741,45635,809,237,2510,1248,5823,19620,5776,4635,22847,1397,839,0
1979,75161,42620,856,264,2455,1224,5240,21641,7606,5648,27824,1574,829,0
1980,80526,41753,949,292,2450,1316,4734,23347,7958,6110,31106,1429,835,0
1981,69342,46072,1106,251,2374,1182,3945,19703,5809,5101,27869,1196,806,0
1982,46588,47717,766,158,1643,832,3483,12581,3344,3158,18833,1378,412,0
1983,44134,41134,614,104,1398,588,2858,10702,3088,3109,19916,1175,582,0
1984,42653,38786,582,136,1397,586,2143,9502,3144,3352,20423,790,598,0
1985,41901,45331,675,162,1458,654,2053,9949,3288,3696,18438,906,622,0
1986,48144,48916,556,134,1649,644,2017,11385,3941,4168,21517,1030,1103,0
1987,60107,43519,471,179,2000,694,2453,14264,5238,5024,27701,1140,943,0
1988,67391,41562,530,124,1993,874,3064,18830,5927,6643,27409,1143,854,0
1989,77613,41902,642,179,2052,887,3801,22308,6991,8040,30438,1321,954,0
1990,79204,39116,643,233,2552,934,4064,24679,6985,8067,28915,1282,850,0
1991,73885,39285,971,292,2255,1059,4666,22807,6550,6261,27136,1107,729,52
1992,78596,39018,1101,203,2698,1173,5094,25762,6610,6179,27806,1160,708,102
1993,75227,37632,1363,187,2843,1111,5253,25630,5750,5312,25954,1238,506,80
1994,74511,40062,1835,203,3227,1064,5388,24424,5720,4969,25928,1122,548,83
1995,67105,43691,1804,182,2588,1104,4988,22663,4675,4253,23287,860,609,92
1996,62728,44930,1791,212,2147,1113,5353,22121,4273,3626,20752,824,445,71
1997,54029,52049,1164,167,2176,1045,4672,18289,4331,3501,17281,881,456,66
1998,46488,64009,718,171,1593,747,3357,15830,3395,3087,16055,941,524,70
1999,43569,55982,655,68,1248,514,2925,13790,2883,3272,17180,699,287,48
2000,44009,58792,536,160,1386,675,2726,14131,3110,3238,16937,628,408,74
2001,44408,51436,489,132,1412,702,2638,13944,3115,3248,17612,698,369,49
2002,47779,52224,625,177,1344,639,2561,15354,3163,3092,19743,629,374,78
2003,48282,45257,480,102,1381,500,2267,15058,3065,3063,21631,356,300,79
2004,51057,43272,475,228,1738,744,2769,15977,3339,3307,21269,652,503,56
2005,53990,46778,534,202,1737,905,3076,17234,3979,3461,21706,612,498,46
2006,58830,46031,771,230,1709,768,3866,18579,4048,3337,24443,527,470,82
2007,57032,40256,561,187,1393,755,3101,16131,3218,2933,27807,432,401,113
2008,53663,42814,492,296,1674,734,3111,16154,3318,2928,23942,509,457,48
2009,48109,38437,364,181,1312,550,2562,14678,2599,2841,22228,501,249,44
2010,50050,43838,483,222,1395,659,2727,14721,3110,2917,22857,514,365,80
2011,49017,48306,404,299,1482,736,2601,14316,3108,3150,22208,385,258,70
2012,48291,52613,444,261,1562,686,2785,14294,3000,3560,20706,581,367,45
2013,50172,47658,458,181,1343,800,2964,14311,3209,3470,22205,644,467,120
2014,61032,45173,500,274,1570,812,3710,18005,3879,4471,26533,661,471,146
2015,68375,45548,623,378,1685,982,3785,19049,4313,4934,31432,676,463,55
2016,65364,41778,583,241,1725,849,3724,17750,4253,4431,30787,485,466,70
2017,59738,44445,573,322,1202,681,3439,16362,3883,4243,28235,387,350,61
2018,59231,46508,646,265,1324,907,3445,17169,3872,4509,26041,546,447,60
2019,60338,46075,727,430,1517,576,3592,18206,4431,4721,25037,620,380,101
2020,62889,40764,736,290,1431,702,4298,18527,4251,4983,26820,530,278,43
2021,82668,49012,527,390,1806,913,4905,24650,6292,6093,36109,577,305,101
