Year,Origin,N.L.,P.E.I.,N.S.,N.B.,Que.,Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,N.W.T.,Nvt.,Total
1971,Alta.,355,143,828,456,1054,6780,2574,4292,0,17717,607,952,0,35758
1971,B.C.,284,73,900,565,1285,7781,2512,2274,11301,0,460,724,0,28159
1971,Man.,197,182,335,423,1126,7082,0,2953,4406,5008,85,133,0,21930
1971,N.B.,830,473,2350,0,2124,5242,230,119,585,787,12,19,0,12771
1971,N.L.,0,89,953,678,650,4150,93,46,195,295,9,13,0,7171
1971,N.S.,1095,493,0,2326,1266,6761,380,156,888,1702,32,50,0,15149
1971,N.W.T.,19,5,0,15,75,143,88,54,660,751,0,0,0,1810
1971,Ont.,4452,1139,7333,5383,14890,0,5234,1822,7575,12195,260,403,0,60686
1971,P.E.I.,64,0,615,471,164,1022,59,42,175,103,8,11,0,2734
1971,Que.,813,189,1447,2912,0,24863,1122,252,1647,3196,39,62,0,36542
1971,Sask.,84,23,547,246,344,3023,3800,0,10012,6217,168,261,0,24725
1971,Y.T.,12,3,0,9,48,91,56,34,424,481,0,0,0,1158
1972,Alta.,381,218,1360,663,1711,9397,4073,6790,0,26944,956,1498,0,53991
1972,B.C.,412,93,1437,744,2329,12715,4310,4090,19165,0,825,1291,0,47411
1972,Man.,252,172,686,588,1653,10021,0,4814,7232,7901,205,320,0,33844
1972,N.B.,1012,719,3524,0,3363,6726,399,147,822,1192,17,24,0,17945
1972,N.L.,0,157,1675,907,1146,6154,248,96,327,505,61,93,0,11369
1972,N.S.,1464,834,0,3187,1745,8611,562,186,1264,1890,41,66,0,19850
1972,N.W.T.,37,6,4,21,117,326,204,142,1264,1385,0,0,0,3506
1972,Ont.,6205,1628,10135,7242,23326,0,8344,2691,11118,17281,328,517,0,88815
1972,P.E.I.,121,0,812,427,167,1349,108,38,210,133,9,13,0,3387
1972,Que.,1118,353,2546,4091,0,37600,1717,401,2868,5146,78,123,0,56041
1972,Sask.,153,60,513,303,516,3937,6016,0,15453,9076,296,461,0,36784
1972,Y.T.,25,5,3,13,77,206,128,93,806,885,0,0,0,2241
1973,Alta.,419,204,1513,868,1963,11751,5989,10109,0,32979,781,1223,0,67799
1973,B.C.,496,150,1850,1014,2988,14422,5881,5754,22264,0,678,1058,0,56555
1973,Man.,343,150,858,676,1455,9785,0,5419,8213,8643,170,268,0,35980
1973,N.B.,960,874,4147,0,3300,7247,681,191,983,1453,8,13,0,19857
1973,N.L.,0,214,2306,1133,1286,8125,745,127,649,785,59,92,0,15521
1973,N.S.,1811,974,0,4061,1759,10634,1031,204,1474,2120,29,48,0,24145
1973,N.W.T.,49,2,36,16,85,392,235,273,1368,1539,0,0,0,3995
1973,Ont.,7459,1897,11772,9381,26142,0,10665,3417,14612,23499,234,368,0,109446
1973,P.E.I.,189,0,940,688,190,1560,180,40,320,217,5,7,0,4336
1973,Que.,1102,293,2479,4528,0,35526,1838,471,2939,4989,77,120,0,54362
1973,Sask.,151,54,329,324,408,4480,6385,0,16800,9883,245,382,0,39441
1973,Y.T.,32,2,22,9,56,249,150,175,875,985,0,0,0,2555
1974,Alta.,349,211,1496,790,1747,9213,4860,10184,0,29382,930,1449,0,60611
1974,B.C.,467,221,2242,1110,3243,13528,5736,6532,26145,0,895,1399,0,61518
1974,Man.,402,183,1028,680,1317,8659,0,5643,8552,8650,188,294,0,35596
1974,N.B.,807,759,3936,0,3491,6110,656,275,1162,1460,17,26,0,18699
1974,N.L.,0,139,2100,1015,1148,5936,725,107,774,847,79,126,0,12996
1974,N.S.,1748,1164,0,4330,1903,10050,1135,419,1818,2882,59,91,0,25599
1974,N.W.T.,48,7,55,20,97,361,205,329,1499,1576,0,0,0,4197
