Census Year,SGC,Region,Immigrants,Emigrants,Returning Emigrants,Net Temporary Emigrants,Net Non-permanent Residents,Net International,Interprovincial In,Interprovincial Out,Net Interprovincial,Intraprovincial In,Intraprovincial Out,Net Intraprovincial,Net Total Migration
2001-2002,5900,British Columbia,38024,11958,3901,4925,8155,33197,47159,55715,-8556,93206,93206,0,24641
2001-2002,5901,East Kootenay,50,122,41,51,31,-51,1495,1882,-387,1401,1369,32,-406
2001-2002,5903,Central Kootenay,69,114,41,47,35,-16,948,1314,-366,1659,2116,-457,-839
2001-2002,5905,Kootenay Boundary,19,73,17,29,18,-48,360,571,-211,935,1126,-191,-450
2001-2002,5907,Okanagan-Similkameen,169,133,42,56,36,58,1291,1193,98,3663,2880,783,939
2001-2002,5909,Fraser Valley,1239,576,171,235,223,822,2615,3099,-484,9980,8891,1089,1427
2001-2002,5915,Greater Vancouver,34458,7380,2396,3039,6403,32838,18487,21849,-3362,20660,24205,-3545,25931
2001-2002,5917,Capital,834,921,435,371,553,530,5571,4817,754,8740,7876,864,2148
2001-2002,5919,Cowichan Valley,73,155,43,65,48,-56,837,712,125,3274,3068,206,275
2001-2002,5921,Nanaimo,172,318,111,133,131,-37,2144,1630,514,5960,4526,1434,1911
2001-2002,5923,Alberni-Clayoquot,9,81,11,34,12,-83,244,255,-11,979,1259,-280,-374
2001-2002,5924,Strathcona,27,83,29,35,18,-44,619,723,-104,1460,1490,-30,-178
2001-2002,5926,Comox Valley,40,118,41,49,28,-58,875,1021,-146,2060,2105,-45,-249
2001-2002,5927,Powell River,9,32,6,14,11,-20,112,192,-80,610,773,-163,-263
2001-2002,5929,Sunshine Coast,44,52,25,22,20,15,285,251,34,1533,1150,383,432
2001-2002,5931,Squamish-Lillooet,103,116,15,49,93,46,674,582,92,1657,1883,-226,-88
2001-2002,5933,Thompson-Nicola,105,316,29,128,148,-162,1341,2374,-1033,4790,4278,512,-683
2001-2002,5935,Central Okanagan,276,388,167,164,127,18,3026,3054,-28,6419,4356,2063,2053
2001-2002,5937,North Okanagan,62,149,77,62,24,-48,1134,1458,-324,3582,2686,896,524
2001-2002,5939,Columbia-Shuswap,15,102,43,43,20,-67,931,1031,-100,2283,2111,172,5
2001-2002,5941,Cariboo,51,108,45,43,26,-29,469,1075,-606,2365,2998,-633,-1268
2001-2002,5943,Mount Waddington,6,19,7,7,7,-6,124,164,-40,486,941,-455,-501
2001-2002,5945,Central Coast,2,2,4,2,3,5,30,49,-19,183,221,-38,-52
2001-2002,5947,Skeena-Queen Charlotte,25,61,1,25,15,-45,150,257,-107,669,1245,-576,-728
