Neighbourhood,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ambleside,1896,1985,1956,1900,2009,2132,2337,2372,2304,2419,2743,2746,2962,3185
Capital Hill/Brentwood,1099,1131,1117,1149,1141,1204,1242,1301,1428,1534,2083,1604,2014,1870
Cedar Cottage,981,996,1049,1125,1201,1281,1377,1450,1620,1554,1638,1695,2233,2165
Central Lonsdale,1168,1209,1272,1289,1311,1410,1493,1667,1701,1775,1795,1975,2310,2560
Central Park,1151,1181,1200,1226,1290,1367,1473,1475,1613,1673,1646,1688,1855,2016
Cloverdale/Fleetwood,909,919,1059,1076,1129,1136,1071,1106,1522,1405,1533,1519,1636,1787
Collingwood,1343,1372,1409,1409,1432,1477,1493,1566,1634,1708,1786,1795,1888,1840
Coquitlam East,1148,1153,1186,1226,1199,1256,1282,1365,1335,1457,1585,1700,1794,**
Coquitlam West,951,962,976,979,1005,1085,1109,1222,1295,1369,1464,1533,1618,2001
Deer Lake,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Downtown,952,994,1020,1010,1091,1032,1189,1296,1484,1670,1607,1663,1961,2162
Downtown Central,1696,1736,1774,1790,1812,1939,2152,2256,2289,2486,2593,2607,2675,3099
Downtown North,1797,1812,1866,1985,2020,2106,2515,2434,2485,2707,2616,2669,2728,2807
DT Eastside/Strathcona,**,**,**,**,**,**,,,,,,,,
Dundrave/West Vancouver Remainder,1900,1958,2099,2048,2039,2189,2173,2470,2470,2688,2562,2609,2926,3004
Edmonds,939,947,972,997,1010,1025,1099,1162,1236,1310,1371,1471,1576,1654
English Bay,1587,1649,1705,1715,1812,1908,2110,2097,2254,2339,2368,2404,2571,3014
Fraser View/Killarny,1125,1169,1169,1230,1241,1267,1294,1361,1724,1878,1758,1823,1992,2029
Guildford,836,840,838,884,877,929,975,1055,1088,1140,1198,1235,1256,1404
Hastings/Sunrise/Grandview/Woodlands,1112,1076,1164,1166,1198,1247,1282,1426,1545,1594,1702,1763,1907,2192
Kerrisdale,1657,1620,1677,1657,1594,1782,1792,1935,2065,2089,2056,2011,2133,2233
Kitsilano/Point Grey North,1481,1532,1556,1631,1653,1737,1805,1924,2039,2151,2260,2243,2306,2614
Kitsilano/Point Grey South,1455,1680,1597,1587,1703,1667,1838,1819,1982,2123,2161,2172,2294,2706
Ladner,889,921,973,979,983,1019,1074,1080,1184,1213,1259,1346,1468,1736
Langley (City),884,908,920,973,949,985,,,,,,,,
Langley (District municipality),947,997,921,955,948,1291,,,,,,,,
Lonsdale East,1137,1169,1212,1252,1300,1304,1420,1444,1542,1646,1638,1768,1715,1998
Lonsdale North,1097,1137,1162,1179,1221,1256,1332,1489,1609,1576,1664,1722,1794,1996
Lonsdale West,1128,1108,1181,1292,1323,1579,1502,1771,1781,1743,2079,1794,2124,1894
Maple Ridge,828,860,891,858,858,913,948,956,1120,1177,1210,1323,1433,1507
Marpole Remainder,945,931,1038,1057,1080,1089,1091,1150,1092,1966,1277,1490,1549,1828
Marpole South,1058,1094,1131,1136,1159,1172,1219,1267,1346,1411,1431,1484,1542,1694
Metrotown,1097,1101,1108,1145,1169,1199,1292,1358,1398,1517,1558,1627,1765,1748
Mount Pleasant,1170,1199,1277,1310,1369,1415,1510,1654,1794,1827,1876,1826,1921,2182
New Westminster East,1009,1044,1086,1092,1160,1179,1226,1346,1516,1664,1701,1873,2036,2222
New Westminster West,870,1446,1498,1532,1679,1575,1663,**,2022,2288,2130,2137,2158,**
Newton,902,911,915,948,928,960,1045,1075,1161,1247,1498,1578,1592,1962
North Delta,942,912,921,960,985,1029,1112,1190,1155,1224,1318,1349,1615,1904
North False Creek,2072,2845,3030,2025,1966,2347,2627,2387,3035,2828,2763,2733,3356,3528
North Vancouver District Municipality East,1151,1169,1163,1243,1275,1289,,,,,,,,
North Vancouver District Municipality West,1369,1414,1462,1645,1663,1771,,,,,,,,
Pitt Meadows,926,977,1010,975,985,1020,981,1218,1270,1390,1411,1371,1608,1866
Point Grey,1457,1521,1597,1660,1788,1861,1824,2147,2072,2162,2261,2112,2630,**
Port Coquitlam,885,896,892,911,979,1025,1065,1211,1472,1883,1846,1987,1963,2030
Port Moody,1208,1198,1200,1151,1174,1287,1216,1333,1448,1259,1393,1505,2059,2278
Renfrew,1027,1051,1027,1197,1123,1099,1189,1343,1503,2263,**,**,**,2560
Richmond City Centre,1113,1126,1152,1143,1160,1228,1285,1321,1401,1465,1475,1542,1760,1949
Richmond East,1277,**,1306,1300,1339,1406,1529,1583,1577,1719,1614,1644,1901,**
Richmond South,1151,1190,1187,1295,1360,1475,1523,1425,1728,1608,1589,1590,1822,1978
Richmond West,1102,1172,1148,1244,1195,1412,1504,1522,1558,1599,1639,1767,1981,2179
Riley Park,1177,1219,1272,1355,1309,1325,1393,1649,1760,2009,2009,1914,2208,2933
South Cambie,1402,1348,1372,1420,1439,1465,1516,1657,1696,1769,1899,2059,1977,2095
South False Creek,1667,1870,1868,1959,2054,2212,2214,2338,2432,2417,2612,2720,2336,2451
South Granville,1426,1484,1528,1573,1586,1641,1738,1846,1908,1965,1940,2011,2089,2201
South Surrey,**,1218,**,**,**,**,**,**,**,1523,1430,1729,1441,**
Southeast Burnaby South,906,913,949,1009,1036,1075,1109,1127,1463,1488,1513,1627,1758,1940
Sunset,959,946,1008,1031,1116,1032,**,1388,1542,2082,1844,1778,2279,2150
Surrey City Centre,930,932,955,966,947,1004,1116,1157,1246,1303,1422,1461,1832,1902
Tsawwassen,980,996,1056,1067,1090,1085,1126,1173,1212,1303,1362,1535,1647,1811
University Endowment Lands,1798,1899,1860,1908,1941,2003,2061,2183,2256,2393,2640,2604,2739,2724
University/Lougheed,1200,1222,1253,1279,1357,1361,1544,1732,1708,1744,1830,1791,2035,2229
Uptown,1002,1011,1030,1054,1089,1122,1158,1264,1350,1421,1418,1436,1505,1638
West End/Stanley Park North,1849,1832,1921,1962,2120,2061,2212,2134,2324,2315,2390,2322,2469,2373
West End/Stanley Park South,1553,1567,1663,1730,1765,1867,1965,2010,2079,2164,2196,2206,2371,2409
Westside Heights,1078,1078,1088,1089,1119,1141,1222,1272,1358,1412,1482,1532,1609,1861
Westside/Kerrisdale Remainder,1762,1827,1793,1839,1688,1880,2020,2547,2272,2469,2291,2315,3049,3113
Whalley,873,865,851,892,908,912,964,1040,1068,1160,1207,1265,1577,1719
White Rock,1016,1013,1030,1035,1054,1087,1093,1241,1280,1390,1422,1385,1559,1666
Vancouver,1202,1243,1267,1287,1317,1375,1459,1558,1652,1752,1799,1830,2009,2187
,,,,,,,,,,,,,,
