Neighbourhood,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ambleside,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Capital Hill/Brentwood,1135,1229,1290,1292,1294,1349,1377,1452,1796,1766,1666,1738,1730,**
Cedar Cottage,**,**,1202,**,**,**,**,**,**,**,**,**,3195,4092
Central Lonsdale,**,1333,**,1294,1425,1457,**,2139,2756,2769,**,**,3746,3306
Central Park,1464,1405,1406,1396,1516,1675,1784,**,**,2121,2038,2051,2242,2463
Cloverdale/Fleetwood,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Collingwood,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Coquitlam East,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Coquitlam West,1249,1309,1298,1303,1327,1378,1416,1705,1771,**,**,2158,**,2529
Deer Lake,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Downtown,1260,1244,1262,1252,1177,1202,1303,**,2258,2386,2265,2337,2850,2830
Downtown Central,2730,2525,2508,2615,2326,2607,2948,**,3087,3398,4145,4066,3964,**
Downtown North,**,**,**,**,**,**,**,**,4705,5041,4919,**,**,**
DT Eastside/Strathcona,**,**,**,**,**,**,,,,,,,,
Dundrave/West Vancouver Remainder,2861,2963,3046,**,**,**,**,**,**,**,**,3634,4285,4580
Edmonds,1036,1065,1167,1185,1052,1266,1226,1238,1254,1401,1644,**,**,**
English Bay,2499,2448,2404,2452,2484,2854,**,2723,3586,**,**,3154,**,**
Fraser View/Killarny,1206,1195,1229,1355,1290,1303,1332,1440,1467,1975,1608,1960,2162,2114
Guildford,1020,987,998,1061,1060,1109,1171,1229,1281,1333,1395,1408,1482,1552
Hastings/Sunrise/Grandview/Woodlands,1343,1392,1439,1498,1485,1541,1540,1655,1710,1811,1916,1990,1988,2210
Kerrisdale,2242,2390,2538,2582,2384,2666,2410,2687,2946,2915,3029,2855,3386,3168
Kitsilano/Point Grey North,**,**,**,2152,2565,**,**,2775,**,2750,2742,2837,**,**
Kitsilano/Point Grey South,**,1959,**,**,2461,**,2615,2667,2920,2797,3151,3446,3479,3635
Ladner,**,**,**,**,**,**,**,**,**,**,**,2600,2774,3074
Langley (City),1080,1085,1117,1149,1215,1355,,,,,,,,
Langley (District municipality),**,**,**,**,**,**,,,,,,,,
Lonsdale East,1518,1466,1538,1596,1565,1749,1850,1956,1992,2270,2467,2321,**,**
Lonsdale North,1582,1542,1693,1604,1686,1670,1862,1896,2429,2525,3244,**,3101,3085
Lonsdale West,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Maple Ridge,1090,1212,1184,1236,1216,1197,1286,1336,1461,1579,1686,1809,1891,2187
Marpole Remainder,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Marpole South,1151,1188,1323,1258,1335,1328,1393,1397,1570,1652,1609,1657,**,**
