Neighbourhood,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ambleside,877,921,933,953,937,1051,1120,1184,1251,1362,1321,1285,1527,1595
Capital Hill/Brentwood,656,658,677,695,704,712,762,816,878,911,886,960,984,961
Cedar Cottage,680,654,682,976,1031,1029,1085,1273,1211,1297,1334,1484,1509,**
Central Lonsdale,862,873,877,895,918,976,1068,1033,1236,1279,1319,1324,1469,1518
Central Park,838,841,862,883,916,930,1106,1129,1194,1230,1242,1383,1528,1801
Cloverdale/Fleetwood,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Collingwood,856,819,869,896,891,943,976,1024,1117,1203,1263,1382,1378,1099
Coquitlam East,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Coquitlam West,669,685,689,718,727,730,783,831,890,947,1000,1198,1248,1491
Deer Lake,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Downtown,643,649,659,673,718,741,782,849,1035,1117,1100,1230,1383,1697
Downtown Central,918,915,936,973,1014,1067,1147,1180,1271,1341,1447,1459,1515,1714
Downtown North,**,**,**,1216,1272,1298,1412,1443,1520,1601,1647,1631,1757,1941
DT Eastside/Strathcona,**,756,**,**,**,**,,,,,,,,
Dundrave/West Vancouver Remainder,893,945,939,990,1025,1172,1312,1210,1299,1447,1337,1375,1497,1646
Edmonds,661,667,696,680,696,737,774,796,850,854,925,969,1095,1053
English Bay,894,904,919,951,972,1021,1133,1131,1181,1331,1340,1337,1343,1451
Fraser View/Killarny,755,**,814,**,858,895,905,928,945,981,1037,1034,1136,1261
Guildford,**,**,**,**,**,**,786,900,**,**,**,**,**,**
Hastings/Sunrise/Grandview/Woodlands,750,822,854,814,908,882,949,1012,1042,1161,1191,1273,1332,1465
Kerrisdale,830,839,859,876,875,946,928,995,1100,1128,1155,1126,1284,1348
Kitsilano/Point Grey North,860,884,882,910,946,999,1027,1097,1140,1278,1246,1302,1381,1409
Kitsilano/Point Grey South,797,807,846,850,859,912,1087,1003,1050,1244,1277,1282,1325,1430
Ladner,595,588,608,627,650,678,660,732,754,784,**,874,905,910
Langley (City),629,631,639,638,641,687,,,,,,,,
Langley (District municipality),**,**,**,**,**,**,,,,,,,,
Lonsdale East,779,775,787,813,842,852,914,917,1004,1038,1159,1030,1150,**
Lonsdale North,726,763,758,749,832,849,891,948,1050,1072,1192,1165,1236,1473
Lonsdale West,713,756,757,786,786,854,928,1160,1049,1098,1061,1131,1136,1055
Maple Ridge,578,565,589,605,598,589,597,653,706,868,713,**,837,**
Marpole Remainder,668,658,702,695,704,717,716,720,816,1518,950,961,1003,**
Marpole South,711,701,715,756,756,785,833,850,914,975,956,1052,1089,1081
Metrotown,700,709,715,736,726,755,804,883,914,1026,1003,1021,1071,1132
Mount Pleasant,782,769,844,861,857,872,983,1115,1304,1255,1294,1337,1362,1459
New Westminster East,651,638,670,689,689,697,743,771,869,1493,1491,1482,1032,1207
New Westminster West,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Newton,**,**,**,**,**,**,**,**,**,**,**,**,**,**
North Delta,**,**,**,**,**,**,**,**,**,**,**,**,**,**
North False Creek,879,1535,1572,1030,1079,1086,1087,1077,1353,1341,1388,1465,**,2014
North Vancouver District Municipality East,**,**,**,**,**,**,,,,,,,,
North Vancouver District Municipality West,**,854,881,905,925,956,,,,,,,,
Pitt Meadows,650,700,825,**,**,**,**,**,**,**,**,**,**,**
Point Grey,922,934,**,990,1075,1090,1148,1241,1328,1428,1315,1343,1459,1643
Port Coquitlam,592,602,598,622,624,622,666,689,806,937,988,1147,832,**
Port Moody,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Renfrew,**,**,**,**,**,**,**,**,1036,999,**,1048,**,1174
Richmond City Centre,720,739,757,785,799,818,849,944,995,1047,1059,1089,1210,1234
Richmond East,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Richmond South,693,693,690,746,730,807,938,985,1072,1076,1154,1277,1190,1616
Richmond West,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Riley Park,614,835,**,765,815,**,846,858,834,944,1082,994,1050,**
South Cambie,752,785,820,805,792,825,890,919,1021,1085,1145,1103,1255,1185
