ZONE_NUMBER,ZONE_NAME,METER_ID,METER_STATION,METER_TYPE,METER_MODEL,OPERATION_HOURS,OPERATION_DAYS,HOURLY_RATE,DAILY_RATE,MAXIMUM_HOURS,MONTHLY_UNRESERVED_RATE,MONTHLY_RESERVED_RATE,PAY_BY_PHONE,OWNER,ON_OFF_STREET,ZONE_TYPE,NUMBER_SPACES,ADDRESS,PAYMENT_METHODS,COMMENTS,Latitude,Longitude
1,Gateway North On-Street,#008,14510,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 6:00 PM,7 Days/Week,$1.25,5,All Day,,,4317,Surrey,On,On-Street Parking,222,13479 108 Ave,Cash/Credit Card/PayByPhone,,49.199228,-122.848916
,Surrey Operations Centre - Staff Parking #4,EV025,AAB-12175,EV Charging Station - Level 2,AddEnergie CoRe+,24 Hours,7 Days/Week,,,,,,,,Off,Employee,1,6651 148 Street,,,49.122700,-122.813089
,Surrey Operations Centre - Visitors #2,EV019,AAB-12099,EV Charging Station - Level 2,AddEnergie CoRe+,24 Hours,7 Days/Week,"[Free 7:30am-4:00pm, Mon-Fri] $0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,1,6651 148 Street,Credit Card via App,,49.123620,-122.812779
,Surrey Nature Centre #3,,204141034173,EV Charging Station - Level 2,ChargePoint CT4020-HD-GW,24 Hours,7 Days/Week,"$0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,2,14225 Green Timbers Way,Credit Card via App,,49.178851,-122.829341
,Surrey Nature Centre #2,,204141034080,EV Charging Station - Level 2,ChargePoint CT4020-HD-GW,24 Hours,7 Days/Week,"$0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,2,14225 Green Timbers Way,Credit Card via App,,49.178830,-122.829288
21,Surrey Nature Centre,,,,,24 Hours,7 Days/Week,,,,$90.00,,,Surrey,Off,Surface Gravel Off-Street,30,14225 Green Timbers Way,Credit Card/PAP/Invoice,Monthly Parking Only,49.178363,-122.828198
,Hawthorne Park #2,,,EV Charging Station - Future,,,,,,,,,,,,,,10513 144 St,,,49.193482,-122.823425
,Hawthorne Park,EV043,183541017833,EV Charging Station - Level 2,ChargePoint CT4021-GW2,24 Hours,7 Days/Week,"$0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,2,10503 144 Street,Credit Card via App,,49.193378,-122.823417
,Fraser Heights Rec Ctr #2,,210941009401,EV Charging Station - Level 2,ChargePoint CT4020-HD-GW,24 Hours,7 Days/Week,"$0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,2,10588 160 Street,Credit Card via App,,49.195249,-122.777691
,Fraser Heights Rec Ctr #1,,210941009614,EV Charging Station - Level 2,ChargePoint CT4020-HD-GW,24 Hours,7 Days/Week,"$0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,2,10588 160 Street,Credit Card via App,,49.195251,-122.777600
,Fraser Heights Rec Ctr DC2,,,EV Charging Station - Future,,,,,,,,,,,Off,,1,10588 160 Street,,Expansion for 2nd DCFC embedded in Pad,49.195251,-122.777438
,Surrey City Hall - P1 #2,EV007,182941013635,EV Charging Station - Level 2,ChargePoint CT4021-GW2,24 Hours,7 Days/Week,"Free for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,2,13450 104 Ave,Credit Card via App,,49.191077,-122.849074
,Surrey City Hall - P1 DC1,53018,202402005804,EV Charging Station - Level 3 / DCFC,ChargePoint CPE250C-500-CCS1-CHD,24 Hours,7 Days/Week,"$0.20/min for the 1st hour, $0.40/min each additional hour",,,,,,,Off,Public,1,13450 104 Ave,Credit Card via App,,49.191077,-122.849074
