,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,2024
CLOVERDALE,Single Family Units*,8,5,,,,,,,,,,,13
,Coach House Units,0,0,,,,,,,,,,,0
,Two Family Units†,0,0,,,,,,,,,,,0
,Townhouse Units,0,0,,,,,,,,,,,0
,Apartment Units,0,102,,,,,,,,,,,102
,Sub-total,8,107,,,,,,,,,,,115
FLEETWOOD,Single Family Units*,12,7,,,,,,,,,,,19
,Coach House Units,0,0,,,,,,,,,,,0
,Two Family Units†,0,0,,,,,,,,,,,0
,Townhouse Units,0,0,,,,,,,,,,,0
,Apartment Units,0,0,,,,,,,,,,,0
,Sub-total,12,7,,,,,,,,,,,19
GUILDFORD,Single Family Units*,6,6,,,,,,,,,,,12
,Coach House Units,0,0,,,,,,,,,,,0
,Two Family Units†,0,0,,,,,,,,,,,0
,Townhouse Units,0,26,,,,,,,,,,,26
,Apartment Units,0,0,,,,,,,,,,,0
,Sub-total,6,32,,,,,,,,,,,38
NEWTON,Single Family Units*,9,7,,,,,,,,,,,16
,Coach House Units,0,0,,,,,,,,,,,0
,Two Family Units†,0,0,,,,,,,,,,,0
,Townhouse Units,0,18,,,,,,,,,,,18
,Apartment Units,0,0,,,,,,,,,,,0
,Sub-total,9,25,,,,,,,,,,,34
SOUTH SURREY,Single Family Units*,14,16,,,,,,,,,,,30
,Coach House Units,0,0,,,,,,,,,,,0
,Two Family Units†,0,0,,,,,,,,,,,0
,Townhouse Units,97,34,,,,,,,,,,,131
,Apartment Units,52,0,,,,,,,,,,,52
,Sub-total,163,50,,,,,,,,,,,213
WHALLEY,Single Family Units*,5,9,,,,,,,,,,,14
,Coach House Units,0,0,,,,,,,,,,,0
,Two Family Units†,0,0,,,,,,,,,,,0
,Townhouse Units,0,0,,,,,,,,,,,0
,Apartment Units,63,0,,,,,,,,,,,63
,Sub-total,68,9,,,,,,,,,,,77
SURREY,Single Family Units*,54,50,,,,,,,,,,,104
,Coach House Units,0,0,,,,,,,,,,,0
,Two Family Units†,0,0,,,,,,,,,,,0
,Townhouse Units,97,78,,,,,,,,,,,175
,Apartment Units,115,102,,,,,,,,,,,217
,Sub-total,266,230,,,,,,,,,,,496
,,,,,,,,,,,,,,
* Includes secondary suites,,,,,,,,,,,,,,
† Includes semi-detached and duplexes,,,,,,,,,,,,,,
