Year,Ambleside,Anmore/Belcarra/Metro Vancouver North,Capital Hill/Brentwood,Cedar Cottage,Central Lonsdale,Central Park,Cloverdale/Fleetwood,Collingwood,Coquitlam East,Coquitlam West,Deer Lake,Downtown,Downtown Central,Downtown Eastside/Strathcona,Downtown North,Dundrave/West Vancouver Remainder,Edmonds,English Bay,Fraser View/Killarny,Guildford,Hastings/Sunrise/Grandview/Woodlands,Kerrisdale,Kitsilano/Point Grey North,Kitsilano/Point Grey South,Ladner,Langley CY,Langley DM,Lonsdale East,Lonsdale North,Lonsdale West,Maple Ridge,Marpole Remainder,Marpole South,Metrotown,Mount Pleasant,New Westminster East,New Westminster West,Newton,North Delta,North False Creek,North Vancouver DM East,North Vancouver DM West,Pitt Meadows,Point Grey,Port Coquitlam,Port Moody,Renfrew,Richmond City Centre,Richmond East,Richmond South,Richmond West,Riley Park,Sea Island,South Cambie,South False Creek,South Granville,South Surrey,Southeast Burnaby South,Sunset,Surrey City Centre,Tsawwassen,University Endowment Lands,University/Lougheed,Uptown,West End/Stanley Park North,West End/Stanley Park South,Westside Heights,Westside/Kerrisdale Remainder,Whalley,White Rock,Vancouver
2010,2,31,393,470,52,152,1102,41,951,180,133,1,0,,361,129,28,0,194,87,148,25,32,79,88,,,46,160,12,443,80,4,115,440,11,248,1120,231,226,,,14,110,402,35,82,201,709,308,201,228,2,41,601,49,984,355,266,123,104,240,49,2,0,0,63,369,216,94,15217
2011,10,16,96,113,2,69,908,323,1284,158,77,25,0,,0,142,144,0,250,74,215,49,344,211,79,,,131,126,222,474,64,2,299,255,103,171,1115,282,518,,,75,87,47,26,119,1084,806,342,395,86,9,50,324,17,830,275,275,369,17,370,326,69,0,0,325,374,511,79,17867
2012,21,12,104,420,85,21,1031,179,1221,581,86,118,4,,368,440,31,134,433,150,265,31,71,179,57,,,82,21,292,524,261,0,871,142,316,107,944,166,736,,,97,96,371,310,122,652,511,319,224,88,2,43,1197,4,860,174,303,112,140,102,156,268,0,0,85,388,178,315,19027
2013,63,11,59,130,122,92,612,169,773,617,58,232,195,,831,201,95,118,260,319,373,17,28,140,67,,,190,29,180,400,191,0,925,65,15,127,763,189,21,,,154,91,342,8,130,299,678,253,195,158,2,78,882,4,762,111,1185,242,33,522,306,4,0,0,652,736,373,218,18696
2014,6,29,122,243,68,88,1032,44,1323,275,128,0,0,,492,178,341,22,403,97,328,67,64,184,44,,,64,44,359,547,61,0,223,201,382,164,858,295,251,,,88,93,375,9,126,1663,885,292,194,95,2,228,312,6,837,100,586,71,240,211,296,5,0,0,376,512,299,161,19212
2015,42,10,203,262,467,473,705,786,461,510,129,416,0,,369,159,71,0,348,246,289,57,8,193,81,,,29,19,318,548,75,0,669,346,139,270,811,478,0,,,54,67,460,26,151,1095,1035,301,223,99,3,41,178,50,963,66,441,1534,76,466,239,95,0,0,68,608,302,160,20863
2016,58,27,1081,672,93,332,743,387,814,811,224,658,296,782,0,225,33,0,1352,203,520,63,51,73,194,32,1383,111,127,548,826,541,0,1134,909,215,301,753,123,1525,642,174,18,51,219,43,137,651,954,356,242,237,12,379,606,6,1239,237,641,63,201,215,453,61,0,0,678,531,470,178,27914
2017,8,36,1131,153,29,235,898,111,307,1823,294,683,23,68,560,174,938,161,611,418,372,92,101,127,126,155,1928,148,14,136,716,174,0,389,129,539,153,590,305,444,100,178,105,55,485,42,143,174,1366,321,199,246,10,110,252,1,1675,154,1138,1120,178,460,272,22,0,0,760,546,679,114,26204
2018,117,11,585,274,144,34,653,234,373,730,141,129,742,106,212,360,64,0,1117,322,317,36,3,61,95,557,1027,475,108,407,937,178,0,929,36,30,247,764,505,310,792,757,44,66,268,238,184,704,955,219,210,212,4,142,302,85,1046,170,943,7,177,7,69,47,0,0,584,962,610,230,23404
2019,205,12,1923,433,457,16,567,460,359,1309,70,0,536,335,0,167,120,21,1042,325,230,14,11,125,262,542,2019,229,92,64,625,546,0,1334,131,28,139,471,207,344,816,155,153,52,436,941,166,325,1591,91,79,159,2,146,804,12,965,23,1040,1201,224,638,409,11,0,0,516,216,783,417,28141
2020,184,10,485,229,225,30,881,110,741,1200,60,2,715,180,0,106,361,0,677,274,320,18,5,91,38,493,2210,81,140,64,525,58,141,988,28,321,188,704,171,126,156,455,70,71,292,546,248,1056,86,135,92,91,5,23,18,0,757,39,288,727,252,466,1831,6,0,0,120,188,780,393,22371
2021,27,11,560,298,0,32,997,87,401,1950,91,869,5,325,0,96,502,0,617,270,523,16,37,88,44,206,1861,378,114,18,708,280,0,472,193,42,131,787,386,0,265,162,76,44,310,427,156,705,456,248,117,461,2,82,106,3,909,154,1079,1230,174,116,90,321,0,0,1974,1064,1626,234,26013
2022,25,180,455,714,365,810,462,275,593,3015,248,291,0,51,200,145,434,11,923,243,676,139,79,108,216,422,1866,638,259,274,444,222,0,87,187,455,255,696,178,0,141,51,29,235,132,266,314,105,547,241,133,200,12,238,0,4,739,155,461,2091,300,358,262,8,0,0,586,874,809,51,25983
2023,6,17,615,320,0,1169,909,544,189,1430,230,5,9,464,76,207,805,0,375,297,672,24,64,47,59,803,2343,35,3,1,798,658,497,1699,393,37,107,733,180,456,668,178,11,62,509,539,241,1490,605,137,77,261,1,72,0,609,1133,26,744,1411,353,154,53,451,0,0,607,2419,2996,161,33244
