TypeOfWork,IssueYear,geo_point_2d,PostalCode
Demolition / Deconstruction,2019,"49.2226528, -123.0341643",V5S 3K8
Salvage and Abatement,2019,"49.2226528, -123.0341643",V5S 3K8
New Building,2019,"49.2416496, -123.0729656",V5V 2Y8
Addition / Alteration,2019,"49.280142, -123.1095515",V6B 2L3
Addition / Alteration,2019,"49.2634463, -123.1867632",N/A
New Building,2019,"49.2158549, -123.1154785",V5X 2Y4
New Building,2019,"49.2360209, -123.0558552",V5R 3J7
Addition / Alteration,2019,"49.2635754, -123.1185654",V5Z 4C2
New Building,2019,"49.2218127, -123.0966798",V5X 1J2
New Building,2019,"49.2408205, -123.0470599",V5R 4R5
Addition / Alteration,2019,"49.2612995, -123.135933",V6H 1K8
Demolition / Deconstruction,2019,"49.2371965, -123.0639503",V5P 1G3
New Building,2019,"49.2553814, -123.0851456",V5V 1C2
Addition / Alteration,2019,"49.2536482, -123.0683759",V5N 4E8
New Building,2019,"49.2564578, -123.1249137",V5Z 1V5
New Building,2020,"49.2668064, -123.1083628",V5Y 1H9
Addition / Alteration,2019,"49.285698, -123.1158986",V6C 2B3
Addition / Alteration,2019,"49.2663504, -123.0773226",N/A
Addition / Alteration,2019,"49.2905353, -123.1355427",V6G 1H2
Addition / Alteration,2019,"49.2726458, -123.135879",V6H 3R9
New Building,2019,"49.2581181, -123.175153",V6K 3C9
Demolition / Deconstruction,2019,"49.2338521, -123.1001463",V5W 1M9
New Building,2019,"49.2443493, -123.0639852",V5N 5S6
Addition / Alteration,2019,"49.2877017, -123.1186181",V6E 2E9
Temporary Building / Structure,2019,"49.2826431, -123.0943463",V6A 1G6
Temporary Building / Structure,2019,"49.2831669, -123.1209088",V6Z 2H7
Addition / Alteration,2019,"49.238963, -123.0511099",V5R 5H4
Addition / Alteration,2019,"49.2836521, -123.1188846",V6C 0B4
Addition / Alteration,2019,"49.2866198, -123.1170233",V6C 3A6
Addition / Alteration,2020,"49.2660862, -123.1774429",V6K 4J3
Temporary Building / Structure,2019,"49.285069, -123.1113954",N/A
Addition / Alteration,2019,"49.2319662, -123.1191819",V5Z 2M9
Addition / Alteration,2019,"49.2502964, -123.1036921",V5V 1W8
New Building,2019,"49.2443983, -123.0639356",V5N 5S6
Addition / Alteration,2019,"49.2180902, -123.0445024",V5S 2A4
Salvage and Abatement,2019,"49.2669247, -123.041281",V5M 1L3
New Building,2019,"49.2554128, -123.0993344",V5V 1A7
Addition / Alteration,2019,"49.2811146, -123.0854037",V6A 3Y1
Addition / Alteration,2019,"49.2464542, -123.089787",V5V 4G3
New Building,2019,"49.230185, -123.0682444",V5P 3N9
Addition / Alteration,2019,"49.2822452, -123.1194942",N/A
New Building,2019,"49.2713782, -123.0397603",V5K 3H8
Addition / Alteration,2019,"49.2796671, -123.1236035",N/A
Addition / Alteration,2019,"49.2869048, -123.1196033",V6E 3S7
Temporary Building / Structure,2019,"49.2895962, -123.1161647",V6C 0C3
New Building,2019,"49.2330176, -123.1353166",V6M 2Z2
Demolition / Deconstruction,2019,"49.2330176, -123.1353166",V6M 2Z2
New Building,2019,"49.275444, -123.0619824",V5L 3K4
Addition / Alteration,2019,"49.2524507, -123.057807",V5N 4Y5
Salvage and Abatement,2019,"49.2543226, -123.0560949",V5N 5G6
New Building,2019,"49.2201738, -123.0761651",V5P 4X4
New Building,2019,"49.2619342, -123.0465632",V5M 1Z1
Salvage and Abatement,2019,"49.2113175, -123.066986",V5P 2N1
Addition / Alteration,2019,"49.2183522, -123.0765745",V5P 2W8
Addition / Alteration,2019,"49.2877973, -123.1389419",V6G 2Z1
Addition / Alteration,2019,"49.2905353, -123.1355427",V6G 1H2
Salvage and Abatement,2019,"49.2571918, -123.1048687",V5T 2Y9
Addition / Alteration,2019,"49.2870046, -123.1227643",N/A
New Building,2019,"49.2675516, -123.0678819",V5N 1H2
Addition / Alteration,2019,"49.2751274, -123.1336225",V6Z 2M2
Addition / Alteration,2019,"49.2243438, -123.0969516",V5X 1B1
