Longitude,Latitude
-122.891738,49.245232
-122.88616,49.242188
-122.879538,49.238593
-122.870969,49.23683
-122.867437,49.238202
-122.86634,49.239669
-122.864689,49.239688
-122.862154,49.240271
-122.862168,49.24154
-122.862146,49.242989
-122.861682,49.244894
-122.856789,49.244937
-122.853637,49.244978
-122.852359,49.24643
-122.852352,49.249301
-122.852277,49.251669
-122.851604,49.253833
-122.848304,49.253837
-122.846332,49.255151
-122.852827,49.256193
-122.858252,49.25621
-122.863873,49.256261
-122.867867,49.256296
-122.870178,49.258146
-122.875986,49.258179
-122.879452,49.258304
-122.883596,49.256786
-122.887323,49.256816
-122.892856,49.257165
-122.892887,49.258548
-122.8898,49.261209
-122.894681,49.247392
-123.139081,49.245722
-123.139023,49.24769
-123.138924,49.250127
-123.138834,49.252263
-123.138804,49.253467
-123.138663,49.257367
-123.138595,49.25921
-123.138524,49.261086
-123.138459,49.262957
-123.138349,49.265651
-123.138259,49.267404
-123.127092,49.276487
-123.125372,49.277584
-123.122294,49.279628
-123.120537,49.280784
-123.118291,49.282317
-123.116549,49.283461
-123.114994,49.284493
-123.11335,49.285553
-123.111394,49.284949
-123.119749,49.209141
-123.123957,49.207419
-123.126813,49.206184
-123.131063,49.20453
-123.137246,49.204167
-123.139869,49.205047
-123.1404,49.207431
-123.14035,49.208885
-123.140317,49.211168
-123.140233,49.213461
-123.140165,49.215299
-123.140114,49.216886
-123.14,49.219694
-123.139943,49.221123
-123.139902,49.222954
-123.139703,49.227422
-123.139609,49.229985
-123.139507,49.232803
-123.139463,49.234888
-123.139374,49.237418
-123.13931,49.239279
-123.13924,49.241186
-123.139178,49.243144
-123.124629,49.276811
-123.121579,49.278835
-123.118869,49.280537
-123.115596,49.282782
-122.891678,49.262693
-122.893206,49.258374
-122.891542,49.256749
-122.886647,49.25671
-122.883392,49.256676
-122.879275,49.258188
-122.875359,49.258085
-122.870435,49.25805
-122.867421,49.256205
-122.862821,49.256133
-122.856991,49.256081
-122.851519,49.25608
-122.846529,49.254901
-122.847542,49.253966
-122.852368,49.253561
-122.852457,49.251189
-122.852517,49.24851
-122.853696,49.245092
-122.857931,49.24504
-122.8623,49.244168
-122.862326,49.241402
-122.862315,49.239975
-122.865624,49.239768
-122.86811,49.237622
-122.8711,49.236997
-122.878381,49.23835
-122.883614,49.241094
-122.888381,49.243692
-122.892587,49.246476
-123.140212,49.213646
-122.894695,49.247483
-122.889533,49.261408
-123.022286,49.232256
-122.953325,49.218272
-122.914338,49.201084
-122.95867,49.212185
-123.003116,49.226075
-123.007485,49.230994
-123.018383,49.232578
-123.015228,49.232758
-123.012251,49.232442
-123.009529,49.231667
-122.998247,49.22788
-122.993821,49.226456
-122.991138,49.225627
-122.988392,49.224711
-122.9841,49.223354
-122.980611,49.222232
-122.975657,49.220688
-122.971429,49.219703
-122.96752,49.218854
-122.964089,49.218308
-122.959902,49.218363
-122.957132,49.21835
-122.948848,49.218084
-122.945623,49.217294
-122.942494,49.216272
-122.939633,49.214564
-122.936712,49.212449
-122.933946,49.210241
-122.932063,49.208747
-122.930195,49.207235
-122.928499,49.205908
-122.926725,49.204496
-122.924753,49.202926
-122.923185,49.20182
-122.955497,49.210902
