Bikeway_Type,Year of Construction,Geom
Protected Bike Lanes,1994.0,"[-123.04406751748832, 49.205556447043314], [-123.04412755361163, 49.205579503350975], [-123.04422957670997, 49.205609772176174], [-123.04431245650757, 49.20562736758972], [-123.04440484274251, 49.205641182165174], [-123.04453389288085, 49.20563861379846], [-123.04464742253975, 49.20562346147326], [-123.04478221696078, 49.2055893234202], [-123.04497279866789, 49.20553124231391], [-123.04513068990855, 49.20550213132405], [-123.04529822657308, 49.205497029276174], [-123.04549080036557, 49.20551341228441], [-123.04567180851473, 49.20550947287706], [-123.04583729017249, 49.20548674457912], [-123.04599133033247, 49.205455116157594], [-123.04614729268482, 49.205420968079856], [-123.04641488091372, 49.20539693877331], [-123.04661321577831, 49.20539937668674], [-123.0468405489436, 49.20542320770819], [-123.04700412312494, 49.20541810479265], [-123.04727570056622, 49.20542303042237], [-123.04755484993001, 49.205412842898916], [-123.04771318754872, 49.20537021366264]"
Protected Bike Lanes,1994.0,"[-123.04771318754872, 49.20537021366264], [-123.0478322850678, 49.20537194007536], [-123.04792216799807, 49.20537324221808], [-123.04792740960194, 49.20537331830234], [-123.04793103902313, 49.2053729183047], [-123.04802358100436, 49.20536271608138], [-123.04819338949595, 49.20534403678772], [-123.0482040169381, 49.20534287016089], [-123.04827379644657, 49.205340540022], [-123.04905050241969, 49.20531454831931], [-123.04964006243333, 49.20531429645147], [-123.05033025445194, 49.205309680926504], [-123.05048682355987, 49.205313933936765], [-123.0506366330733, 49.205343996301465], [-123.05067455421143, 49.20535376925087], [-123.05074566445332, 49.20537209563021], [-123.05080137613979, 49.20538701052712], [-123.05086249414161, 49.20539523951213], [-123.05086338375115, 49.205395243618035], [-123.05094717610424, 49.20539448256788], [-123.05096248940382, 49.205395023625925], [-123.05096340100758, 49.20539505560676]"
Protected Bike Lanes,2005.0,"[-123.13970842261816, 49.20107173444541], [-123.13927950499281, 49.20095087250183], [-123.13909389903951, 49.20081781542118], [-123.13786146106047, 49.2006008905846], [-123.13775793776793, 49.2005771855362], [-123.13761620244382, 49.20052977472297], [-123.13761615574175, 49.20052976398426], [-123.13676043138297, 49.20039157171616], [-123.13607010759809, 49.2002793394199], [-123.13572707494228, 49.200421750132485], [-123.13572703517812, 49.200421766370766], [-123.1354731496878, 49.20051979213921]"
Protected Bike Lanes,2017.0,"[-123.15023249881276, 49.21947791158202], [-123.14999620432692, 49.21907678280549], [-123.14971951430155, 49.21861267686638], [-123.14951221792509, 49.21826485235821]"
Protected Bike Lanes,2017.0,"[-123.15543395948009, 49.22836928450263], [-123.155425252475, 49.22833935548256], [-123.15539472529619, 49.22823858842893], [-123.15534601639682, 49.22811906730392], [-123.1553008207019, 49.22802747082885]"
Painted Lanes,2009.0,"[-123.04143157535273, 49.21719872122506], [-123.04143158906419, 49.21719869693288], [-123.04146523508392, 49.21648193936942]"
Painted Lanes,2008.0,"[-123.116936755433, 49.21463369491936], [-123.11695530525272, 49.214114779612544]"
Painted Lanes,2009.0,"[-123.04113032005527, 49.22317093389807], [-123.04114218786475, 49.22295019930004]"
Painted Lanes,2009.0,"[-123.04114218786475, 49.22295019930004], [-123.0411901282575, 49.22205633678881]"
Protected Bike Lanes,1990.0,"[-123.20869962387428, 49.27489397054007], [-123.20966351340886, 49.27491583164871], [-123.20972013906027, 49.27491711594524], [-123.21044102860922, 49.27503060644561], [-123.21097385674697, 49.275114486474486], [-123.2117256206488, 49.275339553740565]"
