Community_Centre_Locations
"49.2428, -123.1883"
"49.2809, -123.0393"
"49.278, -123.1235"
"49.2636, -123.0321"
"49.2332, -123.1571"
"49.2274, -123.0444"
"49.2718, -123.1056"
"49.2756, -123.0738"
"49.2145, -123.1275"
"49.2811, -123.1001"
"49.2438, -123.1079"
"49.2229, -123.1006"
"49.2553, -123.0655"
"49.2144, -123.0321"
"49.2807, -123.0841"
"49.2529, -123.1213"
"49.2385, -123.0755"
"49.2621, -123.1601"
"49.2839, -123.0971"
"49.2643, -123.1002"
"49.2524, -123.043"
"49.2798, -123.0915"
"49.2899, -123.1361"
"49.2718, -123.2045"
"49.2694, -123.134"
"49.2733, -123.1217"
"49.2902, -123.1259"
