YEAR,TYPE,POSTAL_CODE,Cordinates
2017,Museum/Gallery,V6A 1Z6,"49.278786, -123.098796"
2017,Studio/Rehearsal,V6A 1Z7,"49.278453, -123.098829"
2017,Community Space,V6R 1K4,"49.271511, -123.205213"
2017,Museum/Gallery,V6Z 1N9,"49.2803099, -123.1228359"
2017,Community Space,V5Z 3B2,"49.228879, -123.1169818"
2017,Cafe/Restaurant/Bar,V6H 3R9,"49.272102, -123.134363"
2017,Theatre/Performance,V6H 3R9,"49.272124, -123.134362"
2017,Educational,V6H 3R8,"49.269611, -123.133395"
2017,Theatre/Performance,V5L 2H3,"49.2769146, -123.0698555"
2017,Museum/Gallery,V6B 1H4,"49.282395, -123.108715"
2017,Museum/Gallery,V6A 4L4,"49.2758184, -123.1000334"
2017,Museum/Gallery,V6H 3J9,"49.258496, -123.1391799"
2017,Museum/Gallery,V6C 2G3,"49.284308, -123.119819"
2017,Cafe/Restaurant/Bar,V5T 0A9,"49.2603045, -123.0962422"
2017,Museum/Gallery,V5Y 2M5,"49.242077, -123.113759"
2017,Studio/Rehearsal,V5Y 1A4,"49.2702275, -123.108535"
2017,Studio/Rehearsal,V6J 1A9,"49.2756879, -123.1402263"
2017,Studio/Rehearsal,V6G 1Z4,"49.2912065, -123.0519037"
2017,Cafe/Restaurant/Bar,V5N 4B2,"49.2659754, -123.0693229"
2017,Community Space,V5V 1A6,"49.2559391, -123.1005648"
2017,Community Space,V6J 2M3,"49.2574655, -123.1468654"
2017,Studio/Rehearsal,V6H 3R7,"49.270336, -123.13523"
2017,Community Space,V6B 2R5,"49.279299, -123.114669"
2017,Community Space,V6J 1S1,"49.2653925, -123.1399958"
2017,Community Space,"ver, BC","49.293772, -123.148518"
2017,Museum/Gallery,V6H 2R9,"49.270485, -123.132876"
2017,Studio/Rehearsal,V6A 2T9,"49.279979, -123.099277"
2017,Community Space,V6A 3V6,"49.280315, -123.1032"
2017,Museum/Gallery,V6A 4H5,"49.279894, -123.102448"
2017,Theatre/Performance,V6B 6N9,"49.280474, -123.106621"
2017,Studio/Rehearsal,V6Z 2L7,"49.278543, -123.126284"
2017,Museum/Gallery,V6J 3J9,"49.276084, -123.142663"
2017,Educational,"er, BC,","49.2571788, -123.08964"
2017,Museum/Gallery,V6B 1B6,"49.2843539, -123.109198"
2017,Museum/Gallery,V6B 2T4,"49.2762084, -123.119591"
2017,Cafe/Restaurant/Bar,V5V 3R3,"49.2448437, -123.1012058"
2017,Museum/Gallery,V6H 3R8,"49.269837, -123.13479"
2017,Community Space,V6A 3Z7,"49.274159, -123.10319"
2017,Educational,V6P 5Y7,"49.207191, -123.1230434"
2017,Community Space,V6Z 2V1,"49.2724252, -123.1241736"
2017,Other,V6H 1H6,"49.236965, -123.136982"
2017,Theatre/Performance,V6B 1H4,"49.282364, -123.108528"
2017,Museum/Gallery,V5N 4A3,"49.2683622, -123.0692806"
2017,Museum/Gallery,V6B 5K2,"49.279983, -123.104168"
2017,Museum/Gallery,V6H 3W7,"49.2710507, -123.136077"
2017,Studio/Rehearsal,V6N 1A3,"49.2341311, -123.1641351"
2017,Studio/Rehearsal,V5M 4C1,"49.2551, -123.03"
2017,Theatre/Performance,V6A 1T5,"49.2806621, -123.1008605"
2017,Cafe/Restaurant/Bar,V5T 3C9,"49.2642396, -123.1014108"
2017,Museum/Gallery,V6N 1N4,"49.2813343, -123.101858"
2017,Museum/Gallery,V6J 3J9,"49.276261, -123.144436"
2017,Educational,V5T 3C9,"49.263875, -123.101297"
2017,Museum/Gallery,V6H 3S6,"49.270213, -123.134769"
2017,Community Space,V6Z 1M7,"49.281457, -123.11966"
2017,Studio/Rehearsal,V5A 2P2,"49.270087, -123.098432"
