Coordinates,Count
"49.2837296686065, -123.094257932092",1
"49.2615101798515, -123.054389041217",1
"49.2635378547015, -123.105334740525",6
"49.2538233806111, -123.067782922188",3
"49.283855246635, -123.109266691434",10
"49.2654131556892, -123.135799962553",1
"49.2507615461623, -123.077798637704",13
"49.2787870381496, -123.07453531789",1
"49.2832669212784, -123.068022055279",1
"49.2824599068743, -123.071905101629",1
"49.2685246610611, -123.100340717367",3
"49.2472082287044, -123.070208578598",10
"49.263340757367, -123.11206006439",7
"49.2821750365303, -123.111564898802",3
"49.2628327268892, -123.10971605613",7
"49.2628332496449, -123.109923171761",7
"49.2472351347381, -123.068831146775",5
"49.2764188566751, -123.071781755973",7
"49.226679782002, -123.090324931247",1
"49.2475273351699, -123.184853502064",11
"49.2620277449679, -123.073021895234",4
"49.2761568729213, -123.127070658175",5
"49.2336746275573, -123.065109982612",2
"49.2335815177783, -123.065109860238",4
"49.291276132008, -123.134573789285",2
"49.2687316850038, -123.208720380253",1
"49.2698041774308, -123.056157854778",6
"49.2833162865921, -123.114384263797",5
"49.234564609511, -123.036031913849",1
"49.2673747996032, -123.142648009943",2
"49.2526540772188, -123.068311759866",1
"49.2890543632615, -123.139510514347",3
"49.2808501806824, -123.090484692582",3
"49.2808505234981, -123.090391472193",3
"49.2795640468355, -123.065912807339",1
"49.226162832341, -123.091173355047",1
"49.2333793969718, -123.101954138868",6
"49.2633509374348, -123.112673094421",6
"49.2689356352203, -123.10510450636",2
"49.2689385799141, -123.105318250768",2
"49.2677187678179, -123.143446668431",1
"49.2659077879194, -123.101318265673",6
"49.2361525905124, -123.155871680717",4
"49.2591709029409, -123.115376496209",4
"49.2592779512189, -123.11537124838",4
"49.2686692949168, -123.170814323982",2
"49.268745804655, -123.177418564156",9
"49.2679879083661, -123.103039201568",4
"49.2807547690026, -123.085317045165",4
"49.2769145115494, -123.069855469866",6
"49.2824841931785, -123.096366905288",2
"49.2687526027937, -123.098570647055",1
"49.2598937115638, -123.07803232543",1
"49.2808587372528, -123.091020247939",5
"49.2721198628851, -123.098782708451",1
"49.2813881904475, -123.105475298528",11
"49.2769527045831, -123.072556726536",2
"49.2342324882881, -123.153258264039",5
"49.2807085510905, -123.10365583813",8
"49.2818223505072, -123.107622742579",9
"49.2615039733413, -123.139074336102",2
"49.2816760671522, -123.101769462555",11
"49.2627292250546, -123.104459041871",2
"49.2795268430404, -123.12320359731",15
"49.2814181370421, -123.055513165813",13
"49.2550191435773, -123.098726179262",1
"49.2636099010081, -123.176385082086",1
"49.2837762317664, -123.067877979729",1
"49.2781707233112, -123.066847111004",1
"49.2334779428452, -123.036190038242",1
"49.2820804243326, -123.10931651783",23
"49.2628267526041, -123.187400347342",1
"49.2831753003113, -123.13282205444",1
"49.2724081727205, -123.154638159268",4
"49.2582386165213, -123.101554862517",6
"49.2819357292341, -123.070976811347",1
"49.2865110838563, -123.139125103821",1
"49.2866980611998, -123.139151908149",1
"49.2824632974604, -123.072410221411",1
"49.2246610853555, -123.091157476266",2
"49.2817363586833, -123.084423113278",5
"49.2814347402436, -123.060050076163",10
"49.2605180658097, -123.104371609964",1
"49.2782699768236, -123.097707977578",4
"49.2681519007341, -123.172201491239",4
"49.2640207340481, -123.178660009378",2
"49.2043082174416, -123.13972168616",1
"49.280938039689, -123.094580810565",3
"49.2739606201663, -123.081855598824",1
"49.283797934041, -123.097604689973",5
"49.2837620350054, -123.095906494169",1
"49.2605963157573, -123.031146200721",3
"49.2627418766465, -123.138189281675",4
"49.2628214992662, -123.138176721712",4
"49.2906181547916, -123.144257982484",1
"49.2633841198907, -123.114594659517",3
"49.2333450002721, -123.1011238782",15
"49.2824796651809, -123.132722108303",2
"49.2691396912113, -123.055604340136",6
"49.2828811521773, -123.115038457565",11
"49.2803101980721, -123.081774385915",7
"49.268238442463, -123.143646267365",1
"49.2818691177876, -123.104941626025",7
"49.2751017097561, -123.068658376099",1
"49.2649123911615, -123.18469653746",1
"49.2674143637782, -123.146569602232",1
"49.2812647235184, -123.081094908861",3
"49.2818766924539, -123.091965776941",5
"49.2310755607778, -123.065151180104",4
"49.2836387780743, -123.122962446662",1
"49.2814285232126, -123.088830013379",2
"49.2344948716875, -123.18454297863",3
"49.2807638029619, -123.085044795368",14
"49.2841744777407, -123.109379338303",6
"49.2833375199155, -123.094185697852",1
"49.2572014374477, -123.184755250253",1
"49.2769077143072, -123.069192489003",11
"49.2798347623505, -123.121550921218",5
"49.2113161217797, -123.094507457135",1
"49.2855171613715, -123.044530374034",1
"49.2814218510258, -123.047809629909",4
"49.2643376648718, -123.169033133437",4
"49.2663820185595, -123.133064428914",2
"49.2638874781755, -123.173669444124",4
"49.2785550260164, -123.122683645121",1
"49.2836918603251, -123.113921723141",1
"49.2701437174326, -123.043928600593",2
"49.2822010865962, -123.08178246243",3
"49.2483524978172, -123.100692765638",4
"49.2643547432222, -123.169955332745",4
"49.2666377681639, -123.14611095237",1
"49.266780141628, -123.145913712395",1
"49.2584272486658, -123.114682765926",1
"49.2825369293648, -123.132987346003",1
"49.2825555754904, -123.133042808199",1
"49.2496288532763, -123.115835363399",2
"49.2630544755197, -123.098738717275",6
"49.2644521575012, -123.174275416347",1
"49.2121794553413, -123.102581770825",1
"49.2640358746622, -123.13896811237",1
"49.2804064486147, -123.105415072813",1
"49.2500602466389, -123.076499106976",5
"49.2263235541658, -123.090356131695",1
"49.2783559181758, -123.122979298704",4
"49.2686735356546, -123.101202414179",8
"49.2435863770456, -123.060599179739",9
"49.2602530304684, -123.07011071374",6
"49.2273344918832, -123.066076571174",2
"49.2592118120798, -123.141864595507",2
"49.2823089512172, -123.087357641833",4
"49.2780962099173, -123.115625504484",1
"49.2535120898529, -123.149136277674",1
"49.2254594065068, -123.101245578844",1
"49.280863936424, -123.091271184353",7
"49.2690032193474, -123.076141575359",1
"49.2427024703276, -123.058235722349",1
"49.2509411285432, -123.076882347067",2
"49.2399156311848, -123.0530567063",1
"49.2636924553197, -123.091534909914",1
"49.2851328593497, -123.117471268834",5
"49.2827595992191, -123.112481276352",3
"49.24406032208, -123.06211583849",6
"49.2784984305722, -123.128814654677",8
"49.2811073104196, -123.103662462421",17
"49.2728328122914, -123.069179682174",4
"49.2723792531818, -123.118170263779",1
"49.2804097883205, -123.087929640048",1
"49.280941176485, -123.070905220649",1
"49.2618454826142, -123.091416125542",1
"49.2404593154788, -123.076748517",1
"49.2800531239494, -123.131298357135",4
"49.284268813068, -123.095734167449",2
"49.2837814088564, -123.096943436408",1
"49.2837869821404, -123.097258300082",1
