Census Year,Region,Immigrants,Emigrants,Net Temporary Emigrants,Net Non-permanent Residents,Net International,Net Interprovincial,Net Intraprovincial,Net Total Migration
2001-2002,British Columbia,38024,11958,4925,8155,33197,-8556,0,24641
2001-2002,Fraser Valley,1239,576,235,223,822,-484,1089,1427
2001-2002,Greater Vancouver,34458,7380,3039,6403,32838,-3362,-3545,25931
2002-2003,British Columbia,31924,12837,4923,6345,25375,-1037,0,24338
2002-2003,Fraser Valley,1126,486,188,176,952,-210,1014,1756
2002-2003,Greater Vancouver,28673,8700,3327,4968,24536,-1464,-3654,19418
2003-2004,British Columbia,36712,13987,4923,2637,25254,7865,0,33119
2003-2004,Fraser Valley,1489,595,211,75,994,315,1928,3237
2003-2004,Greater Vancouver,32290,10086,3547,2063,23798,2349,-5509,20638
2004-2005,British Columbia,40577,12883,4925,5711,34158,8214,0,42372
2004-2005,Fraser Valley,1350,407,152,156,1154,47,1318,2519
2004-2005,Greater Vancouver,35990,9314,3550,4488,31270,2976,-5484,28762
2005-2006,British Columbia,43846,12296,4926,4858,38089,8800,0,46889
2005-2006,Fraser Valley,1822,403,152,-105,1383,46,1107,2536
2005-2006,Greater Vancouver,38296,9215,3562,4152,34188,3140,-5620,31708
2006-2007,British Columbia,37811,13259,5798,8328,33263,15005,0,48268
2006-2007,Fraser Valley,1430,577,243,287,1113,308,1552,2973
2006-2007,Greater Vancouver,32245,9838,4302,6098,28455,3955,-5934,26476
2007-2008,British Columbia,43220,12163,5798,11119,42073,14643,0,56716
2007-2008,Fraser Valley,1583,263,126,23,1442,231,1532,3205
2007-2008,Greater Vancouver,36617,9449,4504,9593,36202,3826,-5610,34418
2008-2009,British Columbia,42375,11240,5800,17683,48421,9995,0,58416
2008-2009,Fraser Valley,1705,356,180,63,1416,193,1066,2675
2008-2009,Greater Vancouver,35977,8334,4312,14705,41809,4611,-1955,44465
2009-2010,British Columbia,43871,11589,5799,11174,43570,8728,0,52298
2009-2010,Fraser Valley,1576,346,175,192,1416,38,1388,2842
2009-2010,Greater Vancouver,36850,8906,4460,10467,38221,3539,-1821,39939
2010-2011,British Columbia,38947,11809,5797,399,27074,3421,0,30495
2010-2011,Fraser Valley,1341,477,228,-152,646,-254,1291,1683
2010-2011,Greater Vancouver,32857,8783,4311,1619,25254,1099,-2064,24289
2011-2012,British Columbia,36250,13258,5237,12420,35751,-2711,0,33040
2011-2012,Fraser Valley,1547,481,176,294,1341,-727,1543,2157
2011-2012,Greater Vancouver,29630,9542,3762,9255,29832,-2475,-3148,24209
2012-2013,British Columbia,35738,12873,5236,10734,33849,-1868,0,31981
2012-2013,Fraser Valley,1440,443,172,466,1438,-612,935,1761
2012-2013,Greater Vancouver,29822,9560,3884,5490,25955,-2513,-3455,19987
2013-2014,British Columbia,37520,12978,5237,11603,36792,9475,0,46267
2013-2014,Fraser Valley,1524,365,143,-40,1150,10,1131,2291
2013-2014,Greater Vancouver,30466,9775,3954,9993,31077,1492,-4388,28181
2014-2015,British Columbia,31672,12771,5234,-923,19206,20379,0,39585
2014-2015,Fraser Valley,1228,374,148,-14,916,848,2618,4382
2014-2015,Greater Vancouver,25159,9752,3991,562,16889,6282,-5589,17582
2015-2016,British Columbia,43242,13172,5234,-1664,29919,26573,0,56492
2015-2016,Fraser Valley,1569,480,182,606,1697,1333,4185,7215
2015-2016,Greater Vancouver,34750,9574,3788,-5230,21100,9095,-9928,20267
2016-2017,British Columbia,35397,11892,5296,20059,44668,18834,0,63502
2016-2017,Fraser Valley,1442,341,152,1349,2496,584,3329,6409
2016-2017,Greater Vancouver,28023,8595,3816,13544,33803,5717,-13099,26421
2017-2018,British Columbia,41916,10994,5358,29297,60923,13989,0,74912
2017-2018,Fraser Valley,1513,367,175,3462,4597,-262,3164,7499
2017-2018,Greater Vancouver,33295,7995,3906,18904,44658,3769,-14440,33987
2018-2019,British Columbia,43135,9452,5437,31809,66116,13325,0,79441
2018-2019,Fraser Valley,1539,291,159,2786,4034,-8,1799,5825
2018-2019,Greater Vancouver,34562,6842,3924,23306,51534,3360,-11851,43043
2019-2020,British Columbia,44805,6918,4930,1022,39757,16999,0,56756
2019-2020,Fraser Valley,1405,242,166,-184,923,275,2096,3294
2019-2020,Greater Vancouver,36449,4932,3512,1106,33282,5008,-11148,27142
2020-2021,British Columbia,34388,7189,3699,-7547,21371,25376,0,46747
2020-2021,Fraser Valley,950,216,103,-170,628,874,2517,4019
2020-2021,Greater Vancouver,27998,5061,2609,-4081,20065,9047,-13067,16045
2021-2022,British Columbia,83200,10006,6076,30303,103674,15869,0,119543
2021-2022,Fraser Valley,3428,299,181,188,3328,-257,2657,5728
2021-2022,Greater Vancouver,65975,7052,4285,24969,84006,4170,-14327,73849
