Coordinates
"49.27075, -123.0981"
"49.270913, -123.098821"
"49.275459, -123.099522"
"49.281801, -123.087695"
"49.281801, -123.087695"
"49.26251, -123.100581"
""
"49.280674, -123.101902"
"49.285762, -123.123947"
"49.267597, -123.092156"
"49.277518, -123.116547"
"49.261523, -123.123566"
"49.24018, -123.05268"
"49.275598, -123.112901"
"49.261665, -123.097571"
"49.271123, -123.113823"
"49.281865, -123.119083"
""
"49.272609, -123.14558"
"49.279663, -123.114234"
"49.279993, -123.113948"
"49.280674, -123.03489"
"49.211508, -123.090324"
"49.209461, -123.141003"
"49.274767, -123.071951"
"49.245651, -123.114838"
""
"49.279663, -123.114234"
"49.279756, -123.103282"
"49.277517, -123.099359"
"49.275936, -123.143107"
""
""
""
"49.281384, -123.119"
"49.281384, -123.119"
"49.262386, -123.097582"
""
""
""
""
"49.262386, -123.097582"
"49.262386, -123.097582"
""
"49.282879, -123.120461"
"49.268674, -123.101202"
"49.279993, -123.113948"
""
"49.281384, -123.119"
"49.24387, -123.10759"
"49.26117, -123.15252"
""
"49.279069, -123.114573"
"49.285762, -123.123947"
"49.285762, -123.123947"
"49.285762, -123.123947"
""
"49.28102, -123.11279"
""
"49.26665, -123.11563"
"49.24905, -123.11562"
"49.261185, -123.113918"
"49.260104, -123.115462"
"49.28525, -123.111406"
"49.277533, -123.1475"
"49.293313, -123.133965"
"49.28059, -123.1115"
"49.281486, -123.115207"
"49.280548, -123.114442"
"49.28063, -123.11481"
"49.283241, -123.12062"
"49.288835, -123.1122"
"49.267592, -123.138963"
"49.28209, -123.109894"
"49.273857, -123.117552"
"49.238255, -123.133832"
"49.288723, -123.123528"
"49.297198, -123.134619"
"49.299188, -123.120776"
"49.299283, -123.120898"
"49.300579, -123.121984"
"49.30255, -123.130411"
"49.290439, -123.146003"
"49.237432, -123.076377"
"49.280618, -123.123447"
""
"49.268934, -123.134231"
"49.23847, -123.129426"
"49.279572, -123.1142"
"49.275936, -123.143107"
"49.264775, -123.143186"
"49.238533, -123.130023"
"49.27429, -123.09923"
"49.262779, -123.090612"
""
"49.266071, -123.115347"
"49.281365, -123.043716"
"49.281357, -123.113646"
"49.248619, -123.073144"
""
"49.226406, -123.057584"
"49.239702, -123.132513"
"49.239068, -123.134604"
"49.238962, -123.132934"
"49.239103, -123.130122"
"49.23917, -123.132214"
"49.238951, -123.131514"
"49.282006, -123.122092"
"49.278494, -123.10804"
"49.279912, -123.115277"
"49.272805, -123.119515"
"49.286884, -123.115356"
"49.287177, -123.12577"
"49.26461, -123.0735"
"49.237762, -123.127791"
"49.234972, -123.0654"
"49.249535, -123.164822"
""
"49.286618, -123.057708"
"49.288027, -123.113251"
"49.284181, -123.120009"
"49.280674, -123.03489"
"49.281487, -123.112093"
"49.288328, -123.127743"
"49.266551, -123.09901"
""
"49.225138, -123.107627"
"49.257173, -123.108382"
"49.281273, -123.115823"
"49.280719, -123.105193"
"49.280885, -123.125969"
"49.273621, -123.092675"
"49.271797, -123.204533"
"49.28238, -123.094119"
"49.271847, -123.12491"
"49.28967, -123.123477"
""
"49.273616, -123.09"
""
"49.291259, -123.1275"
""
""
""
"49.288318, -123.117871"
"49.27669, -123.12523"
"49.27515, -123.091885"
""
"49.28033, -123.10316"
"49.289295, -123.1209"
""
"49.251751, -123.152696"
"49.264344, -123.0808"
"49.289384, -123.114089"
""
"49.294667, -123.13608"
"49.279552, -123.116458"
"49.260791, -123.113986"
""
"49.271428, -123.106698"
"49.22695, -123.044018"
"49.282989, -123.103934"
"49.281317, -123.105123"
"49.282576, -123.103734"
"49.28065, -123.104079"
"49.282107, -123.103728"
""
""
""
""
""
""
""
"49.279698, -123.115556"
"49.240476, -123.0763"
"49.284133, -123.1018"
"49.277434, -123.113959"
""
"49.276384, -123.1276"
"49.254946, -123.101234"
""
""
"49.279606, -123.1107"
"49.288707, -123.118827"
"49.285762, -123.123947"
""
""
"49.27961, -123.09171"
""
""
"49.280031, -123.1051"
"49.282311, -123.0979"
"49.281147, -123.1062"
""
""
"49.281384, -123.119"
"49.279754, -123.114941"
""
"49.255509, -123.0653"
"49.277839, -123.0773"
"49.270023, -123.10182"
"49.270879, -123.101653"
"49.238699, -123.0499"
"49.285762, -123.123947"
"49.239068, -123.134604"
"49.284999, -123.112805"
"49.279663, -123.114234"
