Coordinates,School Type
"49.24843134181949, -123.14226149913934",Independent School
"49.2521383750676, -123.05269627000001",Public School
"49.250581806373596, -123.18024556263893",Public School
"49.283091710067765, -123.12980600999998",Public School
"49.24532077406758, -123.07246012",Public School
"49.263528260800655, -123.16601055529476",Independent School
"49.26396573206767, -123.09399954",StrongStart BC
"49.264135070670505, -123.19617943097614",Independent School
"49.269785798267485, -123.16244364510744",Independent School
"49.26329988232251, -123.14026052001878",Public School
"49.257791772067634, -123.20112784000001",Public School
"49.267187849067696, -123.06634874",Public School
"49.25145777406758, -123.03205805",Public School
"49.24867607506759, -123.14380998000001",Public School
"49.23453643506752, -123.08671432",Public School
"49.249753501067595, -123.09480947999998",Public School
"49.234347746067506, -123.03760798",Public School
"49.244156609067566, -123.07817551",Public School
"49.280723909067746, -123.06467911",Public School
"49.22105956806746, -123.12561546",Public School
"49.23156648606752, -123.10656921",Public School
"49.20446493818909, -123.13700792036838",Independent School
"49.26317767149081, -123.1561791428068",Independent School
"49.237501631148845, -123.03370590892874",Independent School
"49.261404544549904, -123.10260439171995",Independent School
"49.259762302830595, -123.1024366967439",Independent School
"49.246512456067585, -123.0371743",Public School
"49.263648890401456, -123.03187058558184",Public School
"49.25356935406761, -123.07382164",Public School
"49.25471221591419, -123.02856693112142",Independent School
"49.23495941876865, -123.1361713344514",Independent School
"49.21547172757715, -123.1413692647842",Independent School
"49.20779039590787, -123.14463359946043",Independent School
"49.216109230067424, -123.08434542",Public School
"49.256937847571606, -123.0503919492473",Independent School
"49.248848218981884, -123.14034013611547",Independent School
"49.28500059925005, -123.11400985419304",Independent School
"49.23963096106753, -123.12579095999999",Public School
"49.27523599085204, -123.07192309841",Public School
"49.219380799067466, -123.03582905",Public School
"49.219380799067466, -123.03582905",StrongStart BC
"49.25658742134096, -123.17355723856548",Public School
"49.26788631306769, -123.05058984",StrongStart BC
"49.25235796846878, -123.0483494372457",Independent School
"49.23634859906753, -123.032313",Public School
"49.220439256067465, -123.07063159999998",Public School
"49.27964048422215, -123.03951720287967",Public School
"49.22690693506749, -123.12100426",Public School
"49.25956780506763, -123.19253813000002",Public School
"49.27223799906772, -123.122482",Public School
"49.2500416520676, -123.12609640999999",Public School
"49.267667982326586, -123.1982460233882",Independent School
"49.26266070419338, -123.15727596082289",Independent School
"49.23673222606754, -123.05745595",Public School
"49.24206908706756, -123.02567271",Public School
"49.2722458780677, -123.14935629",Public School
"49.238114800850234, -123.16209828723368",Independent School
"49.222569588067465, -123.09527169",Public School
"49.24142469506758, -123.0516408",Public School
"49.23344818232933, -123.1227909397854",Independent School
"49.28982415206781, -123.13644517",Public School
"49.27859426906773, -123.08031429999998",StrongStart BC
"49.23963096106753, -123.12579095999999",Public School
"49.26648700606768, -123.18233379",Public School
"49.251669525820965, -123.14306239951357",Public School
"49.22064030106746, -123.02774835",Public School
"49.254854500002445, -123.08239063270196",Public School
"49.26788631306769, -123.05058984",Public School
"49.23634859906753, -123.032313",StrongStart BC
"49.27155962112064, -123.09507768504591",Independent School
"49.26329988232251, -123.14026052001878",Public School
"49.226406104158166, -123.05758354036608",Independent School
"49.209962411067416, -123.13634890999998",Public School
"49.209962411067416, -123.13634890999998",StrongStart BC
"49.21331811031946, -123.05829331021336",Public School
"49.21770658906743, -123.15401133",Public School
"49.23963096106753, -123.12579095999999",Public School
"49.26710311106769, -123.12685921",Public School
"49.260059324067655, -123.09371757",StrongStart BC
"49.27541639106772, -123.05026876999999",Public School
"49.26597990206767, -123.17067418",Public School
"49.24761203506759, -123.06163307000001",Public School
"49.24759061248421, -123.18770751925071",Independent School
"49.21726779206743, -123.10879442",Public School
"49.22104214306744, -123.08804322",StrongStart BC
"49.23195715006752, -123.09279776",Public School
"49.232867999067516, -123.177405",Public School
"49.262654772067656, -123.16358941",Public School
"49.25808403306762, -123.13038640000002",Public School
"49.259566550086106, -123.1925309529982",Public School
"49.27250773706771, -123.05971209",Public School
"49.27250773706771, -123.05971209",StrongStart BC
"49.249691952067586, -123.06900705",StrongStart BC
"49.22855386506042, -123.15153798760876",Public School
"49.25359297006762, -123.04294917",Public School
"49.275802839348714, -123.04556662808874",Independent School
"49.27957121602082, -123.05015370472844",Independent School
"49.28051480952856, -123.05595432992459",Independent School
"49.267667982326586, -123.1982460233882",Independent School
"49.23342156632536, -123.12761225509908",Independent School
"49.21445400406743, -123.096959",Public School
"49.23634859906753, -123.032313",Public School
"49.261970549067655, -123.07592057",StrongStart BC
"49.24893677906758, -123.19469107",Public School
"49.26785642206768, -123.20479699",Public School
"49.27541639106772, -123.05026876999999",Public School
"49.21604932869144, -123.0646531767478",Public School
"49.28249619606777, -123.02758566",Public School
"49.27183079984159, -123.03801003712412",Public School
"49.210717995067405, -123.11944529999998",Public School
"49.23076242206749, -123.13266216000001",Public School
"49.23813758506754, -123.19781516",Public School
"49.22721361145612, -123.09585589038312",Independent School
"49.26517255153582, -123.15355224259545",Independent School
"49.276881634743646, -123.06504858875364",Independent School
"49.24758226745896, -123.19846496388473",Independent School
"49.255914408245054, -123.0716470523458",Independent School
"49.256545786691255, -123.04262672835044",Independent School
"49.278439093067725, -123.06069106000001",Public School
"49.23495941876865, -123.1361713344514",Independent School
"49.233747421132286, -123.04636736023019",Independent School
"49.260755475067654, -123.05129983999998",Public School
"49.216109230067424, -123.08434542",StrongStart BC
"49.22783722506748, -123.05578593",Public School
"49.22783722506748, -123.05578593",StrongStart BC
"49.24857412675284, -123.1280001050362",Independent School
"49.246512456067585, -123.0371743",Public School
"49.25670999906763, -123.152101",Independent School
"49.27859426906773, -123.08031429999998",Public School
"49.277061847359775, -123.13091892226645",Independent School
"49.23963096106753, -123.12579095999999",Public School
"49.2583379074734, -123.1193909103338",Independent School
"49.27451200859733, -123.07137879542154",Public School
"49.263384758081116, -123.14531440269688",Independent School
"49.2140784317513, -123.03054968939806",Public School
"49.2140784317513, -123.03054968939806",StrongStart BC
"49.2502130610676, -123.08271031",Public School
"49.266421543067686, -123.04511809000002",Public School
"49.233677833584544, -123.17721815907593",Independent School
"49.27863099906775, -123.106594",Public School
"49.2507533360676, -123.09798144",Public School
"49.22957875906749, -123.04440254",Public School
"49.22799018553298, -123.02935503511594",Public School
"49.25290710906762, -123.11722884",Public School
"49.260059324067655, -123.09371757",Public School
"49.23963096106753, -123.12579095999999",Public School
"49.24121522106756, -123.10063141",Public School
"49.247228706067595, -123.10596494",Public School
"49.266193169067684, -123.0743697",Public School
"49.28261095988815, -123.05057740868249",Public School
"49.22104214306744, -123.08804322",Public School
"49.23616824506754, -123.17345921",Public School
"49.22530010406748, -123.04415722000002",Public School
"49.26173570306765, -123.06022338",Public School
"49.28678528206777, -123.13784476",Public School
"49.249691952067586, -123.06900705",Public School
"49.27981151466552, -123.09147679242075",Public School
"49.262518934067664, -123.14937705",Public School
"49.280723909067746, -123.06467911",StrongStart BC
"49.22940869906749, -123.15151486",Public School
"49.26396573206767, -123.09399954",Public School
"49.257791772067634, -123.20112784000001",Public School
"49.23342156632536, -123.12761225509908",Independent School
"49.28108362095662, -123.12511331828341",Independent School
"49.28108362095662, -123.12511331828341",Independent School
"49.23728903611385, -123.15343060436416",Public School
