CURRENT_LAND_VALUE_2024,CURRENT_LAND_VALUE_2023,CURRENT_LAND_VALUE_2022,CURRENT_LAND_VALUE_2021,CURRENT_LAND_VALUE_2020,CURRENT_IMPROVEMENT_VALUE_2024,CURRENT_IMPROVEMENT_VALUE_2023,CURRENT_IMPROVEMENT_VALUE_2022,CURRENT_IMPROVEMENT_VALUE_2021,CURRENT_IMPROVEMENT_VALUE_2020,LATITUDE,LONGITUDE,Count_Per_Year_2020,Count_Per_Year_2021,Count_Per_Year_2022,Count_Per_Year_2023,Count_Per_Year_2024,MIN_DISTANCE_LIBRARY_METERS,CLOSEST_HOMELESS_SHELTER,CLOSEST_SCHOOL_METERS,COMMUNITY_CENTRE_DISTANCE_METERS,CLOSEST_DOG_PARK_METERS,YEAR_BUILT,BIG_IMPROVEMENT_YEAR
14443000.0,14251000.0,12973000.0,11017000.0,10100000.0,1520700.0,1393600.0,1439000.0,1259300.0,1333200.0,49.221822,-123.02626,11,11,11,11,11,1056.6970458912783,6107.240949103313,"{170.1463815306432, Public School}",927.9101132509684,278.8318242413565,1980.0,1990.0
32761000.0,31855000.0,32595000.0,27602000.0,25330000.0,8467000.0,8605500.0,8474700.0,7927700.0,7963600.0,49.249115,-123.165541,11,11,11,11,11,1496.6601097926273,4335.685847043163,"{136.3684141582638, Public School}",1496.8927101103554,847.9544383309794,2014.0,2014.0
34076000.0,35320000.0,35765000.0,30389000.0,28082000.0,4061000.0,4362400.0,4041000.0,3825900.0,3853800.0,49.246082,-123.187859,14,14,14,14,13,164.23297580454704,5731.903504973571,"{168.11028065895138, Independent School}",366.3436762222017,940.8059259502836,2013.0,2013.0
30791000.0,31443000.0,29507000.0,27203000.0,24634000.0,13821300.0,12714600.0,13213900.0,13768900.0,13013300.0,49.240163,-123.09032,17,17,17,17,17,1185.6740669715216,2711.526929145787,"{437.26161907716096, Public School}",1091.6976140960169,1168.451345712908,2016.0,2017.0
38831000.0,37544000.0,38298000.0,33592000.0,31265000.0,9939900.0,9687100.0,9232400.0,7805200.0,7396000.0,49.254574,-123.193153,13,13,13,13,13,1099.7693871644642,5496.055699192765,"{556.9795320312278, Public School}",1355.77242898239,1236.550064299672,2020.0,2020.0
3212000.0,3122000.0,3126000.0,2709000.0,2585000.0,324000.0,327000.0,340000.0,283000.0,292000.0,49.235588,-123.112072,1,1,1,1,1,491.6848332514572,3008.4787785285816,"{599.6665559933047, Public School}",962.0558408973278,258.47713000743903,1949.0,2000.0
21677000.0,21846000.0,21366000.0,17605000.0,16247000.0,13930600.0,14095100.0,13314000.0,12766700.0,12794200.0,49.246467,-123.137484,4,4,4,4,4,1827.288205256549,2895.213623140626,"{336.28768337821685, Independent School}",1375.355935980136,830.8413939634971,2009.0,2010.0
13057000.0,12347336.0,11277000.0,9486000.0,8410000.0,1050800.0,1060400.0,935000.0,832600.0,848300.0,49.221056,-123.062574,7,7,7,7,7,348.4927492946438,5399.606811599872,"{502.53404920820634, Public School}",1496.5144716649258,1104.605872592207,1997.0,1997.0
13574000.0,13052000.0,12059000.0,10687000.0,9151000.0,3186700.0,3092800.0,3063300.0,2696600.0,2715900.0,49.260245,-123.060581,7,7,7,7,7,1545.6226652015428,1165.4008802796434,"{167.77807495684252, Public School}",655.5779565962869,324.55239699009564,2013.0,2013.0
9533000.0,9127000.0,8797000.0,8017000.0,7842000.0,547200.0,570200.0,572600.0,510800.0,512500.0,49.250506,-123.116099,4,4,4,4,4,954.0602950626454,1511.019665581151,"{279.30146976001936, Public School}",461.9147287051187,1201.4338436050734,1970.0,1997.0
